Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																		0.000000	0.002664	0.000000																																																			-0.298996										-0.002320	-0.002701									-0.000156							-0.054365			-0.207140	-0.313645						0.000000	0.000000	0.255879								0.000000	0.266710			0.928906	-0.228437																																					-1.567182	1.220783													0.000000	
 1 	 2																		0.000000	0.002664	0.000000																																																			-0.445833										-0.000929	-0.001081									-0.000062							-0.054365			-0.207662	-0.347208						0.000000	0.000000	0.294767								0.000000	0.262379			0.735586	-0.265696																																					-1.205813	1.233255													0.000000	
 1 	 3																		0.000000	0.002664	0.000000																																																			-0.581710										-0.000463	-0.000538									-0.000031							-0.054365			-0.228673	-0.351017						0.000000	0.000000	0.339480								0.000000	0.252364			0.670587	-0.342148																																					-0.944180	1.238032													0.000000	
 1 	 4																		0.000000	0.002664	0.000000																																																			-0.440479										-0.005574	-0.006489									-0.000374							-0.054365			-0.214828	-0.267503						0.000000	0.000000	0.301483								0.000000	0.249998			1.001114	-0.233274																																					-1.649826	1.317453													0.000000	
 1 	 5																		0.000000	0.002664	0.000000																																																			-0.580860										-0.014864	-0.017303									-0.000998							-0.054365			-0.219398	-0.265338						0.000000	0.000000	0.312304								0.000000	0.236549			0.969779	-0.250509																																					-1.551361	1.433699													0.000000	
 1 	 6																		0.000000	0.002664	0.000000																																																			-0.614674										-0.037159	-0.043258									-0.002495							-0.054365			-0.218724	-0.270471						0.000000	0.000000	0.312483								0.000000	0.239897			0.978679	-0.246437																																					-1.502541	1.456400													0.000000	
 1 	 7																		0.000000	0.002664	0.000000																																																			-0.664305										-0.071986	-0.083801									-0.004833							-0.054365			-0.215118	-0.271141						0.000000	0.000000	0.312850								0.000000	0.226754			0.988569	-0.242038																																					-1.437032	1.513780													0.000000	
 1 	 8																		0.000000	0.002664	0.000000																																																			-0.448650										-0.062697	-0.072988									-0.004209							-0.054365			-0.219574	-0.275470						0.000000	0.000000	0.312165								0.000000	0.264623			0.986379	-0.247090																																					-1.570787	1.389998													0.000000	
 1 	 9																		0.000000	0.002664	0.000000																																																			-0.375566										-0.058053	-0.067581									-0.003897							-0.054365			-0.219088	-0.274619						0.000000	0.000000	0.312999								0.000000	0.257633			0.983545	-0.246768																																					-1.622686	1.365784													0.000000	
 1 	 10																		0.000000	0.002664	0.000000																																																			-0.219702										-0.065019	-0.075691									-0.004365							-0.054365			-0.220173	-0.275513						0.000000	0.000000	0.313599								0.000000	0.258125			0.975955	-0.248662																																					-1.708821	1.321969													0.000000	
 1 	 11																		0.000000	0.002664	0.000000																																																			-0.109950										-0.074308	-0.086504									-0.004989							-0.054365			-0.220625	-0.275110						0.000000	0.000000	0.315188								0.000000	0.250514			0.970505	-0.248844																																					-1.766165	1.301990													0.000000	
 1 	 12																		0.000000	0.002664	0.000000																																																			-0.094511										-0.081739	-0.095155									-0.005487							-0.054365			-0.220793	-0.274110						0.000000	0.000000	0.317550								0.000000	0.248919			0.969425	-0.249605																																					-1.770097	1.307305													0.000000	
 1 	 13																		0.000000	0.002664	0.000000																																																			-0.095779										-0.074308	-0.086504									-0.004989							-0.054365			-0.221137	-0.273729						0.000000	0.000000	0.319352								0.000000	0.250128			0.968389	-0.250441																																					-1.786448	1.307168													0.000000	
 1 	 14																		0.000000	0.002664	0.000000																																																			-0.105787										-0.075237	-0.087585									-0.005051							-0.054365			-0.220568	-0.272374						0.000000	0.000000	0.321198								0.000000	0.243188			0.969376	-0.250733																																					-1.785150	1.320426													0.000000	
 1 	 15																		0.000000	0.002664	0.000000																																																			-0.121337										-0.084525	-0.098398									-0.005675							-0.054365			-0.220150	-0.270894						0.000000	0.000000	0.322557								0.000000	0.240255			0.974815	-0.251290																																					-1.774541	1.340885													0.000000	
 1 	 16																		0.000000	0.002664	0.000000																																																			-0.138813										-0.088241	-0.102724									-0.005924							-0.054365			-0.220867	-0.270816						0.000000	0.000000	0.322909								0.000000	0.247240			0.981244	-0.251483																																					-1.776256	1.355431													0.000000	
 1 	 17																		0.000000	0.002664	0.000000																																																			-0.162426										-0.088241	-0.102724									-0.005924							-0.054365			-0.222338	-0.270916						0.000000	0.000000	0.323028								0.000000	0.260160			0.990175	-0.251226																																					-1.781685	1.363818													0.000000	
 1 	 18																		0.000000	0.002664	0.000000																																																			-0.193497										-0.065019	-0.075691									-0.004365							-0.054365			-0.224472	-0.271337						0.000000	0.000000	0.322020								0.000000	0.269775			0.999004	-0.251968																																					-1.809468	1.356721													0.000000	
