Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000024	0.000013	0.000000
CCGT_AMMONIA	0.000008	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2484.711191	587.931250	0.000000
WIND_ONSHORE	433.047558	120.960000	0.000000
WIND_OFFSHORE	1242.837331	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	381.738612	508.413728	0.000000
IND_COGEN_WOOD	0.000010	0.000007	0.000000
IND_COGEN_WASTE	0.000009	0.000007	0.000000
IND_BOILER_GAS	36.163797	10.801439	0.000000
IND_BOILER_WOOD	0.000007	0.000002	0.000000
IND_BOILER_OIL	0.000015	0.000005	0.000000
IND_BOILER_COAL	0.000005	0.000001	0.000000
IND_BOILER_WASTE	25.400441	7.573173	0.000000
IND_DIRECT_ELEC	561.295791	33.975474	0.000000
DHN_HP_ELEC	128.337483	90.168038	0.000000
DHN_COGEN_GAS	68.741968	41.643696	0.000000
DHN_COGEN_WOOD	0.000008	0.000006	0.000000
DHN_COGEN_WASTE	0.000008	0.000006	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000004	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000011	0.000007	0.000000
DHN_BOILER_GAS	0.000005	0.000002	0.000000
DHN_BOILER_WOOD	0.000004	0.000001	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	628.409989	410.642778	0.000000
DEC_THHP_GAS	0.000009	0.000004	0.000000
DEC_COGEN_GAS	0.000013	0.000014	0.000000
DEC_COGEN_OIL	0.000014	0.000014	0.000000
DEC_ADVCOGEN_GAS	0.000027	0.000008	0.000000
DEC_ADVCOGEN_H2	301.561488	96.487530	0.000000
DEC_BOILER_GAS	0.000020	0.000009	0.000000
DEC_BOILER_WOOD	0.000014	0.000007	0.000000
DEC_BOILER_OIL	0.000016	0.000014	0.000000
DEC_SOLAR	0.000010	0.000002	0.000000
DEC_DIRECT_ELEC	0.000044	0.000003	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000001	0.000001	0.000000
BUS_COACH_HYDIESEL	363.202031	193.852348	0.000000
BUS_COACH_CNG_STOICH	0.000003	0.000002	0.000000
BUS_COACH_FC_HYBRIDH2	0.000012	0.000005	0.000000
BUS_COACH_ELECTRIC	0.000002	0.000001	0.000000
TRAIN_PUB	789.736989	852.657339	0.000000
