Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	ADLIBIO_TO_HVC	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1													-0.029346	5.628804																							0.019552	0.029867			0.000000	1.267183	0.681882	0.037524		7.829467	0.000519	0.000290						-0.271441	-0.068939	2.023286	0.000558	0.000599	0.002772	0.000407						-1.898357		0.165575	0.004801	0.019486	0.043962					-0.119221	-0.008266					-0.013212	-0.014372						-0.030054	-0.019318		-0.165051							-1.081374		-0.009744	-0.005024		0.000036	-0.000228	-0.000055	-0.005900		-0.000159		-0.013703	0.002013							-0.169289	-1.648041	-0.000281			-0.181537	0.132050	-0.541997	0.626201	-0.746160	0.147366	-0.674037	0.033133																																											-10.982225	
 1 	 2													-0.027674	5.447400																							0.019115	0.037647			0.000000	1.538707	0.905636	0.039451		7.870590	0.000533	0.000289						-0.279364	-0.061995	1.556074	0.000549	0.000604	0.002797	0.000408						-2.491344		0.161905	0.004802	0.018621	0.040777					-0.156917	-0.003309					-0.005289	-0.005754						-0.012032	-0.007734		-0.165051							-1.081374		-0.009693	-0.004770		0.000036	-0.000171	-0.000059	-0.005522		-0.000138		-0.012808	0.002117							-0.157285	-1.586290	-0.000445			-0.175066	0.136267	-0.467449	0.740846	-0.779167	0.127833	-0.673937	0.015682																																											-10.498046	
 1 	 3													-0.028943	5.316005																							0.021453	0.039981			0.000000	2.197328	1.085002	0.039293		7.723302	0.000532	0.000284						-0.277357	-0.057931	1.498531	0.000538	0.000612	0.002757	0.000408						-3.224713		0.150071	0.004807	0.020105	0.034586					-0.187664	-0.001648					-0.002633	-0.002865						-0.005990	-0.003851		-0.165051							-1.081374		-0.009638	-0.004776		0.000035	-0.000133	-0.000062	-0.005079		-0.000119		-0.013852	0.002144							-0.170484	-1.572558	-0.000552			-0.173680	0.131946	-0.469907	0.730550	-0.820461	0.111675	-0.674546	0.009878																																											-10.165954	
 1 	 4													-0.030981	5.537444																							0.019367	0.030994			0.000000	2.764926	1.111191	0.037612		7.756344	0.000531	0.000292						-0.275218	-0.071751	1.756290	0.000557	0.000599	0.002793	0.000408						-4.212167		0.163470	0.004780	0.021556	0.042656					-0.139684	-0.019855					-0.031736	-0.034522						-0.072192	-0.046404		-0.165051							-1.081374		-0.009447	-0.004777		0.000035	-0.000172	-0.000055	-0.005924		-0.000152		-0.013316	0.002058							-0.179728	-1.609411	-0.000154			-0.170279	0.142543	-0.556752	0.651551	-0.882567	0.117279	-0.672706	0.075246																																											-9.954145	
 1 	 5													-0.033594	6.108802																							0.019094	0.029032			0.000000	2.616925	1.088078	0.036260		7.828061	0.000535	0.000293						-0.255160	-0.065660	1.707969	0.000567	0.000598	0.002812	0.000408						-4.407577		0.164917	0.004768	0.020942	0.042797					-0.133143	-0.052947					-0.084628	-0.092059						-0.192512	-0.123744		-0.165051							-1.081374		-0.009484	-0.004756		0.000035	-0.000173	-0.000047	-0.006348		-0.000178		-0.013434	0.002111							-0.193632	-1.601067	-0.000146			-0.175725	0.148440	-0.498806	0.653962	-0.915007	0.172334	-0.670569	0.194616																																											-10.067532	
 1 	 6													-0.036540	7.078243																							0.019070	0.028180			0.000000	2.524457	1.050564	0.034006		7.922930	0.000531	0.000293						-0.280184	-0.066867	1.798522	0.000567	0.000597	0.002827	0.000407						-4.433189		0.170396	0.004760	0.021392	0.042011					-0.117104	-0.132367					-0.211571	-0.230148						-0.481281	-0.309359		-0.165051							-1.081374		-0.009480	-0.004690		0.000035	-0.000173	-0.000047	-0.006384		-0.000176		-0.013534	0.002098							-0.199633	-1.621632	-0.000142			-0.205719	0.158633	-0.505980	0.692037	-0.889995	0.353016	-0.661495	0.482701																																											-10.724160	
 1 	 7													-0.036383	8.922375																							0.019208	0.028605			0.000000	2.403039	0.737190	0.033792		7.924781	0.000535	0.000293						-0.265888	-0.063781	2.003204	0.000569	0.000596	0.002826	0.000407						-4.366386		0.177397	0.004755	0.021697	0.042196					-0.107305	-0.256426					-0.409862	-0.445850						-0.932354	-0.599301		-0.165051							-1.081374		-0.009464	-0.004676		0.000035	-0.000173	-0.000047	-0.006394		-0.000169		-0.013401	0.002059							-0.191656	-1.637925	-0.000140			-0.199121	0.158339	-0.472846	0.776555	-0.849113	0.642560	-0.644177	0.934811																																											-12.078561	
 1 	 8													-0.036502	8.206444																							0.019126	0.028730			0.000000	3.067908	0.785940	0.034025		7.930125	0.000539	0.000293						-0.276753	-0.065340	1.896045	0.000571	0.000596	0.002818	0.000407						-4.417466		0.180315	0.004745	0.021585	0.041507					-0.116062	-0.223339					-0.356976	-0.388320						-0.812049	-0.521971		-0.165051							-1.081374		-0.009486	-0.004718		0.000036	-0.000175	-0.000047	-0.006405		-0.000161		-0.013417	0.002068							-0.192870	-1.639903	-0.000139			-0.203069	0.156684	-0.487374	0.731280	-0.124466	1.119264	-0.648048	0.814880																																											-13.254447	
 1 	 9													-0.036522	8.216502																							0.019145	0.028886			0.002529	3.431638	0.932524	0.033882		7.926271	0.000540	0.000293						-0.277911	-0.065672	1.903472	0.000570	0.000596	0.002812	0.000407						-4.339082		0.185132	0.004738	0.021649	0.041693					-0.121050	-0.206796					-0.330535	-0.359557						-0.751899	-0.483308		-0.165051							-1.081374		-0.009502	-0.004730		0.000035	-0.000178	-0.000048	-0.006418		-0.000153		-0.013428	0.002063							-0.191297	-1.639352	-0.000141			-0.201799	0.157968	-0.492766	0.722620	-0.147590	1.031088	-0.650670	0.755206																																											-13.845430	
 1 	 10													-0.036604	6.495724																							0.019108	0.028915			1.188838	4.210350	1.102208	0.034423		7.890954	0.000536	0.000293						-0.275917	-0.067061	1.773919	0.000567	0.000596	0.002803	0.000407						-4.190221		0.187618	0.004730	0.021366	0.041960					-0.135261	-0.231612					-0.370200	-0.402705						-0.842129	-0.541306		-0.165051							-1.081374		-0.009542	-0.004758		0.000035	-0.000182	-0.000048	-0.006440		-0.000148		-0.013348	0.002079							-0.194858	-1.627593	-0.000144			-0.201767	0.159843	-0.524172	0.658904	-0.160757	0.983349	-0.646212	0.845927																																											-13.926041	
