Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	ADLIBIO_TO_HVC	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																			0.000000	0.000000	27.550479																																																		-0.075797										-0.001664										-0.000060							-0.000948			-0.089851	-0.184114			-0.010231				-0.010789	0.074472								10.685104	0.157339			0.051672	-37.830603																																					-0.449211	0.134202													0.000000	
 1 	 2																			0.000000	0.000000	27.550479																																																		-0.070304										-0.000666										-0.000024							-0.000948			-0.089373	-0.174810			-0.007684				-0.009348	0.068465								9.408634	0.146183			0.050758	-36.624890																																					-0.389212	0.142740													0.000000	
 1 	 3																			0.000000	0.000000	27.550479																																																		-0.059631										-0.000332										-0.000012							-0.000948			-0.088865	-0.175027			-0.005951				-0.008063	0.069166								8.960192	0.158450			0.082270	-36.251023																																					-0.365148	0.134443													0.000000	
 1 	 4																			0.000000	0.000000	27.550479																																																		-0.073545										-0.003996										-0.000145							-0.000948			-0.087107	-0.175067			-0.007738				-0.010318	0.073588								9.785986	0.167041			0.054977	-37.084886																																					-0.374206	0.185885													0.000000	
 1 	 5																			0.000000	0.000000	27.550479																																																		-0.073787										-0.010655										-0.000386							-0.000948			-0.087454	-0.174277			-0.007763				-0.012059	0.075563								9.626166	0.179963			0.057258	-36.960467																																					-0.356936	0.195303													0.000000	
 1 	 6																			0.000000	0.000000	27.550479																																																		-0.072433										-0.026639										-0.000966							-0.000948			-0.087409	-0.171857			-0.007746				-0.011975	0.075780								10.128202	0.185541			0.055186	-37.462436																																					-0.351927	0.199147													0.000000	
 1 	 7																			0.000000	0.000000	27.550479																																																		-0.072751										-0.051605										-0.001872							-0.000948			-0.087267	-0.171352			-0.007790				-0.011482	0.075745								10.621960	0.178127			0.054746	-37.932749																																					-0.346590	0.203350													0.000000	
 1 	 8																			0.000000	0.000000	27.550479																																																		-0.071563										-0.044947										-0.001630							-0.000948			-0.087466	-0.172918			-0.007876				-0.010906	0.075535								10.491760	0.179256			0.054644	-37.811862																																					-0.346389	0.204831													0.000000	
 1 	 9																			0.000000	0.000000	27.550479																																																		-0.071885										-0.041617										-0.001510							-0.000948			-0.087619	-0.173334			-0.008001				-0.010379	0.075451								10.561789	0.177793			0.054527	-37.887045																																					-0.344145	0.206444													0.000000	
 1 	 10																			0.000000	0.000000	27.550479																																																		-0.072344										-0.046611										-0.001691							-0.000948			-0.087984	-0.174379			-0.008171				-0.010069	0.075408								10.270305	0.181103			0.054574	-37.591275																																					-0.344391	0.205995													0.000000	
 1 	 11																			0.000000	0.000000	27.550479																																																		-0.073264										-0.053270										-0.001932							-0.000948			-0.088413	-0.175876			-0.008371				-0.009815	0.075481								9.895942	0.186396			0.054835	-37.207308																																					-0.347599	0.203663													0.000000	
 1 	 12																			0.000000	0.000000	27.550479																																																		-0.075234										-0.058597										-0.002125							-0.000948			-0.088846	-0.179922			-0.008555				-0.009738	0.075619								8.593982	0.205769			0.056084	-35.892821																																					-0.363048	0.197903													0.000000	
 1 	 13																			0.000000	0.000000	27.550479																																																		-0.076821										-0.053270										-0.001932							-0.000948			-0.088723	-0.181719			-0.008733				-0.009770	0.076052								7.933269	0.219432			0.056973	-35.236538																																					-0.372627	0.194878													0.000000	
 1 	 14																			0.000000	0.000000	27.550479																																																		-0.076461										-0.053936										-0.001956							-0.000948			-0.089264	-0.177574			-0.008883				-0.009826	0.076762								9.169709	0.206845			0.055651	-36.481084																																					-0.357492	0.197977													0.000000	
 1 	 15																			0.000000	0.000000	27.550479																																																		-0.076227										-0.060595										-0.002198							-0.000948			-0.089080	-0.174006			-0.009013				-0.009902	0.077119								10.178063	0.196008			0.054705	-37.488864																																					-0.347117	0.201575													0.000000	
 1 	 16																			0.000000	0.000000	27.550479																																																		-0.076355										-0.063258										-0.002295							-0.000948			-0.088913	-0.172004			-0.009128				-0.010041	0.077050								10.680798	0.191812			0.054185	-37.990946																																					-0.343911	0.203475													0.000000	
 1 	 17																			0.000000	0.000000	27.550479																																																		-0.076864										-0.063258										-0.002295							-0.000948			-0.088930	-0.171200			-0.009214				-0.010232	0.076861								10.896539	0.190629			0.053997	-38.205304																																					-0.344204	0.203944													0.000000	
 1 	 18																			0.000000	0.000000	27.550479																																																		-0.077411										-0.046611										-0.001691							-0.000948			-0.089069	-0.171516			-0.009281				-0.010525	0.076445								10.903689	0.191400			0.053999	-38.223861																																					-0.347602	0.202503													0.000000	
 1 	 19																			0.000000	0.000000	27.550479																																																		-0.078231										-0.033294										-0.001208							-0.000948			-0.089089	-0.171491			-0.009320				-0.011046	0.076085								11.049197	0.191199			0.053808	-38.378566																																					-0.349381	0.201806													0.000000	
 1 	 20																			0.000000	0.000000	27.550479																																																		-0.078271										-0.024967										-0.000906							-0.000948			-0.089334	-0.172889			-0.009345				-0.011736	0.075660								10.857774	0.194002			0.053915	-38.187444																																					-0.354894	0.198904													0.000000	
 1 	 21																			0.000000	0.000000	27.550479																																																		-0.078177										-0.016635										-0.000603							-0.000948			-0.089489	-0.174344			-0.009379				-0.012230	0.075221								10.783397	0.194815			0.053937	-38.113408																																					-0.359739	0.197107													0.000000	
 1 	 22																			0.000000	0.000000	27.550479																																																		-0.079266										-0.010655										-0.000386							-0.000948			-0.089542	-0.177147			-0.009454				-0.012601	0.074379								10.479229	0.185144			0.054465	-37.789788																																					-0.367598	0.193692													0.000000	
 1 	 23																			0.000000	0.000000	27.550479																																																		-0.079553										-0.006660										-0.000242							-0.000948			-0.089269	-0.177614			-0.009651				-0.012921	0.074796								11.092846	0.183886			0.051957	-38.410380																																					-0.367548	0.200822													0.000000	
 1 	 24																			0.000000	0.000000	27.550479																																																		-0.082681										-0.002664										-0.000097							-0.000948			-0.088775	-0.177860			-0.009948				-0.011018	0.074391								12.604850	0.168153			0.051480	-39.843777																																					-0.394310	0.162724													0.000000	
 2 	 1																			0.000000	0.000000	27.550479																																																		-0.252014										-0.001664										-0.000060							-0.000948			-0.455812	-0.367591			-0.159812				-0.122379	0.980175								14.284573	0.863648			1.259993	-43.507110																																					-8.241151	8.169674													0.000000	
 2 	 2																			0.000000	0.000000	27.550479																																																		-0.213711										-0.000666										-0.000024							-0.000948			-0.441049	-0.349078			-0.114011				-0.112503	1.010650								15.169655	0.881230			1.041988	-43.557941																																					-8.252202	7.388133													0.000000	
 2 	 3																			0.000000	0.000000	27.550479																																																		-0.173165										-0.000332										-0.000012							-0.000948			-0.446596	-0.362386			-0.100951				-0.113178	0.976145								14.734867	0.919149			1.086269	-44.012671																																					-7.502310	7.445639													0.000000	
