Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	ADLIBIO_TO_HVC	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																																																									0.003641	0.002600	0.012537	4.704606																																																																		-4.723384	
 1 	 2																																																																																																									0.002735	0.002802	0.011734	4.706113																																																																		-4.723384	
 1 	 3																																																																																																									0.002118	0.002921	0.010793	4.707552																																																																		-4.723384	
 1 	 4																																																																																																									0.002754	0.002594	0.012589	4.705447																																																																		-4.723384	
 1 	 5																																																																																																									0.002763	0.002225	0.013490	4.704906																																																																		-4.723384	
 1 	 6																																																																																																									0.002757	0.002209	0.013566	4.704852																																																																		-4.723384	
 1 	 7																																																																																																									0.002773	0.002225	0.013587	4.704799																																																																		-4.723384	
 1 	 8																																																																																																									0.002803	0.002242	0.013610	4.704729																																																																		-4.723384	
 1 	 9																																																																																																									0.002848	0.002248	0.013639	4.704649																																																																		-4.723384	
 1 	 10																																																																																																									0.002908	0.002258	0.013685	4.704533																																																																		-4.723384	
 1 	 11																																																																																																									0.002979	0.002261	0.013755	4.704389																																																																		-4.723384	
 1 	 12																																																																																																									0.003045	0.002277	0.013861	4.704201																																																																		-4.723384	
 1 	 13																																																																																																									0.003108	0.002307	0.013920	4.704049																																																																		-4.723384	
 1 	 14																																																																																																									0.003162	0.002341	0.013864	4.704017																																																																		-4.723384	
 1 	 15																																																																																																									0.003208	0.002368	0.013826	4.703983																																																																		-4.723384	
 1 	 16																																																																																																									0.003249	0.002385	0.013801	4.703949																																																																		-4.723384	
 1 	 17																																																																																																									0.003279	0.002387	0.013809	4.703909																																																																		-4.723384	
 1 	 18																																																																																																									0.003303	0.002392	0.013842	4.703847																																																																		-4.723384	
 1 	 19																																																																																																									0.003317	0.002396	0.013882	4.703789																																																																		-4.723384	
 1 	 20																																																																																																									0.003326	0.002400	0.013942	4.703716																																																																		-4.723384	
 1 	 21																																																																																																									0.003338	0.002403	0.013995	4.703648																																																																		-4.723384	
 1 	 22																																																																																																									0.003365	0.002416	0.014006	4.703597																																																																		-4.723384	
 1 	 23																																																																																																									0.003435	0.002647	0.012555	4.704747																																																																		-4.723384	
 1 	 24																																																																																																									0.003541	0.002646	0.012711	4.704486																																																																		-4.723384	
 2 	 1																																																																																																									0.056881	0.069390	0.180104	4.417009																																																																		-4.723384	
 2 	 2																																																																																																									0.040579	0.073347	0.167519	4.441938																																																																		-4.723384	
 2 	 3																																																																																																									0.035931	0.073549	0.160899	4.453005																																																																		-4.723384	
 2 	 4																																																																																																									0.056232	0.069415	0.179592	4.418144																																																																		-4.723384	
 2 	 5																																																																																																									0.056042	0.069916	0.178399	4.419026																																																																		-4.723384	
 2 	 6																																																																																																									0.055774	0.070440	0.175994	4.421175																																																																		-4.723384	
 2 	 7																																																																																																									0.055573	0.070872	0.172705	4.424233																																																																		-4.723384	
 2 	 8																																																																																																									0.055452	0.071121	0.171948	4.424863																																																																		-4.723384	
 2 	 9																																																																																																									0.055373	0.071202	0.172684	4.424126																																																																		-4.723384	
 2 	 10																																																																																																									0.055276	0.071132	0.173541	4.423435																																																																		-4.723384	
 2 	 11																																																																																																									0.055135	0.070926	0.175009	4.422314																																																																		-4.723384	
 2 	 12																																																																																																									0.055022	0.070678	0.177476	4.420207																																																																		-4.723384	
 2 	 13																																																																																																									0.054947	0.070371	0.180721	4.417345																																																																		-4.723384	
 2 	 14																																																																																																									0.054846	0.070206	0.182990	4.415342																																																																		-4.723384	
 2 	 15																																																																																																									0.054833	0.070162	0.183893	4.414495																																																																		-4.723384	
 2 	 16																																																																																																									0.054797	0.070368	0.182483	4.415735																																																																		-4.723384	
 2 	 17																																																																																																									0.054880	0.070819	0.178706	4.418978																																																																		-4.723384	
 2 	 18																																																																																																									0.055142	0.071326	0.174733	4.422183																																																																		-4.723384	
 2 	 19																																																																																																									0.055225	0.071533	0.174187	4.422439																																																																		-4.723384	
 2 	 20																																																																																																									0.055283	0.071423	0.175606	4.421071																																																																		-4.723384	
 2 	 21																																																																																																									0.055312	0.071319	0.176636	4.420117																																																																		-4.723384	
 2 	 22																																																																																																									0.055392	0.071140	0.178324	4.418528																																																																		-4.723384	
 2 	 23																																																																																																									0.055397	0.071241	0.178098	4.418647																																																																		-4.723384	
 2 	 24																																																																																																									0.056102	0.070821	0.178152	4.418309																																																																		-4.723384	
 3 	 1																																																																																																									0.006228	0.006439	0.023265	4.687452																																																																		-4.723384	
 3 	 2																																																																																																									0.004508	0.006639	0.022115	4.690122																																																																		-4.723384	
