Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	ADLIBIO_TO_HVC	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																0.007822																-0.001452					-0.003376					-0.002994																																																																																																																				0.000000	
 1 	 2																																0.007831																-0.001444					-0.003369					-0.003018																																																																																																																				0.000000	
 1 	 3																																0.007791																-0.001419					-0.003311					-0.003062																																																																																																																				0.000000	
 1 	 4																																0.007871																-0.001462					-0.003416					-0.002993																																																																																																																				0.000000	
 1 	 5																																0.007864																-0.001465					-0.003411					-0.002988																																																																																																																				0.000000	
 1 	 6																																0.007861																-0.001465					-0.003413					-0.002983																																																																																																																				0.000000	
 1 	 7																																0.007861																-0.001465					-0.003414					-0.002982																																																																																																																				0.000000	
 1 	 8																																0.007858																-0.001465					-0.003411					-0.002981																																																																																																																				0.000000	
 1 	 9																																0.007854																-0.001465					-0.003408					-0.002981																																																																																																																				0.000000	
 1 	 10																																0.007852																-0.001465					-0.003406					-0.002980																																																																																																																				0.000000	
 1 	 11																																0.007850																-0.001465					-0.003405					-0.002980																																																																																																																				0.000000	
 1 	 12																																0.007849																-0.001466					-0.003403					-0.002981																																																																																																																				0.000000	
 1 	 13																																0.007848																-0.001466					-0.003401					-0.002981																																																																																																																				0.000000	
 1 	 14																																0.007845																-0.001464					-0.003401					-0.002980																																																																																																																				0.000000	
 1 	 15																																0.007843																-0.001464					-0.003400					-0.002979																																																																																																																				0.000000	
 1 	 16																																0.007843																-0.001463					-0.003401					-0.002979																																																																																																																				0.000000	
 1 	 17																																0.007843																-0.001463					-0.003401					-0.002979																																																																																																																				0.000000	
 1 	 18																																0.007845																-0.001464					-0.003402					-0.002979																																																																																																																				0.000000	
 1 	 19																																0.007846																-0.001464					-0.003402					-0.002980																																																																																																																				0.000000	
 1 	 20																																0.007846																-0.001465					-0.003401					-0.002980																																																																																																																				0.000000	
 1 	 21																																0.007844																-0.001465					-0.003398					-0.002981																																																																																																																				0.000000	
 1 	 22																																0.007842																-0.001464					-0.003393					-0.002985																																																																																																																				0.000000	
 1 	 23																																0.007837																-0.001464					-0.003389					-0.002984																																																																																																																				0.000000	
 1 	 24																																0.007826																-0.001456					-0.003389					-0.002982																																																																																																																				0.000000	
 2 	 1																																0.143729																-0.027631					-0.068071					-0.048027																																																																																																																				0.000000	
 2 	 2																																0.157345																-0.027700					-0.082000					-0.047645																																																																																																																				0.000000	
 2 	 3																																0.157738																-0.028146					-0.082148					-0.047445																																																																																																																				0.000000	
 2 	 4																																0.140449																-0.027458					-0.065541					-0.047451																																																																																																																				0.000000	
 2 	 5																																0.137147																-0.027567					-0.062592					-0.046987																																																																																																																				0.000000	
 2 	 6																																0.136878																-0.027703					-0.062290					-0.046886																																																																																																																				0.000000	
 2 	 7																																0.137374																-0.027917					-0.062472					-0.046985																																																																																																																				0.000000	
 2 	 8																																0.137157																-0.027961					-0.062217					-0.046979																																																																																																																				0.000000	
 2 	 9																																0.136735																-0.027914					-0.061880					-0.046941																																																																																																																				0.000000	
 2 	 10																																0.136559																-0.027978					-0.061633					-0.046948																																																																																																																				0.000000	
 2 	 11																																0.136982																-0.028146					-0.061749					-0.047087																																																																																																																				0.000000	
 2 	 12																																0.137129																-0.028210					-0.061775					-0.047144																																																																																																																				0.000000	
 2 	 13																																0.137196																-0.028274					-0.061714					-0.047209																																																																																																																				0.000000	
 2 	 14																																0.137298																-0.028339					-0.061695					-0.047264																																																																																																																				0.000000	
 2 	 15																																0.137343																-0.028367					-0.061707					-0.047270																																																																																																																				0.000000	
 2 	 16																																0.137514																-0.028359					-0.061942					-0.047212																																																																																																																				0.000000	
 2 	 17																																0.137426																-0.028302					-0.062045					-0.047079																																																																																																																				0.000000	
 2 	 18																																0.137202																-0.028225					-0.062049					-0.046928																																																																																																																				0.000000	
 2 	 19																																0.136819																-0.028120					-0.061888					-0.046811																																																																																																																				0.000000	
 2 	 20																																0.136624																-0.028101					-0.061705					-0.046817																																																																																																																				0.000000	
 2 	 21																																0.136898																-0.028108					-0.061966					-0.046824																																																																																																																				0.000000	
 2 	 22																																0.136755																-0.028066					-0.061669					-0.047020																																																																																																																				0.000000	
 2 	 23																																0.137578																-0.028031					-0.062520					-0.047027																																																																																																																				0.000000	
 2 	 24																																0.140654																-0.028162					-0.064449					-0.048043																																																																																																																				0.000000	
 3 	 1																																0.015462																-0.002979					-0.006374					-0.006109																																																																																																																				0.000000	
 3 	 2																																0.015399																-0.002954					-0.006115					-0.006330																																																																																																																				0.000000	
