Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000003	0.000000	0.000216
CCGT_AMMONIA	0.000001	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1314.504028	0.000000	0.000000
WIND_ONSHORE	133.608580	0.000000	2.322462
WIND_OFFSHORE	118.263261	0.000000	3.330770
HYDRO_RIVER	3.051277	0.000000	0.010093
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	77.136946	0.000000	13712.276073
IND_COGEN_WOOD	0.000001	0.000000	0.000016
IND_COGEN_WASTE	0.000001	0.000000	0.000020
IND_BOILER_GAS	4.757834	0.000000	2093.628684
IND_BOILER_WOOD	0.000003	0.000000	0.000016
IND_BOILER_OIL	0.000002	0.000000	0.000036
IND_BOILER_COAL	0.000003	0.000000	0.000006
IND_BOILER_WASTE	12.686149	0.000000	4904.501399
IND_DIRECT_ELEC	1.525128	0.000000	0.000000
DHN_HP_ELEC	37.944488	0.000000	537.382312
DHN_COGEN_GAS	7.241030	0.000000	495.535842
DHN_COGEN_WOOD	0.000001	0.000000	0.000011
DHN_COGEN_WASTE	0.000002	0.000000	0.000017
DHN_COGEN_WET_BIOMASS	0.000005	0.000000	0.000061
DHN_COGEN_BIO_HYDROLYSIS	0.000001	0.000000	0.000016
DHN_BOILER_GAS	0.000001	0.000000	0.000060
DHN_BOILER_WOOD	0.000002	0.000000	0.000010
DHN_BOILER_OIL	0.000000	0.000000	0.000009
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	136.766769	0.000000	1320.053075
DEC_THHP_GAS	0.000007	0.000000	0.000088
DEC_COGEN_GAS	0.000004	0.000000	0.000047
DEC_COGEN_OIL	0.000005	0.000000	0.000006
DEC_ADVCOGEN_GAS	0.000004	0.000000	0.000104
DEC_ADVCOGEN_H2	40.305302	0.000000	15.586532
DEC_BOILER_GAS	0.000003	0.000000	0.000016
DEC_BOILER_WOOD	0.000006	0.000000	0.000011
