Name	Used	Potential
AMMONIA	79.490606	Infinity
AMMONIA_RE_BE	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000010	Infinity
BIODIESEL	0.000001	Infinity
BIODIESEL_BE	0.000000	0.000000
BIOETHANOL	0.000001	Infinity
CO2_ATM	0.000080	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	69280.592195	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	0.000102	33354.999440
DIESEL	0.000114	Infinity
ELEC_EXPORT	0.001855	Infinity
ELECTRICITY	118.778530	27567.311340
GAS	400408.261164	Infinity
GAS_RE_BE	0.000000	0.000000
GAS_RE_IMPORT	0.000000	Infinity
GASOLINE	27591.535313	Infinity
H2	0.000000	0.000000
H2_RE_BE	0.000000	0.000000
H2_RE_IMPORT	0.000000	Infinity
LFO	0.001760	Infinity
LFO_RE_BE	0.000000	0.000000
METHANOL	7562.323263	Infinity
METHANOL_RE_BE	0.000000	0.000000
METHANOL_RE_IMPORT	0.000014	Infinity
RES_GEO	0.000000	Infinity
RES_HYDRO	487.581281	Infinity
RES_SOLAR	0.000734	Infinity
RES_WIND	33439.761119	Infinity
URANIUM	0.000000	Infinity
WASTE	17799.999579	17800.000000
WET_BIOMASS	0.000039	38900.000000
WOOD	0.000020	23400.000000
WOOD_PRODUCTION	0.000005	70200.000000
