Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000061
CCGT_AMMONIA	0.000001	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.158027	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.588775
WIND_OFFSHORE	96.182602	0.000000	0.839387
HYDRO_RIVER	2.193013	0.000000	0.002644
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	39.036858	0.000000	9351.673003
IND_COGEN_WOOD	0.000001	0.000000	0.000088
IND_COGEN_WASTE	0.000001	0.000000	0.000034
IND_BOILER_GAS	0.759555	0.000000	544.007308
IND_BOILER_WOOD	0.000003	0.000000	0.000127
IND_BOILER_OIL	0.000001	0.000000	0.000150
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	8.612821	0.000000	3522.704182
IND_DIRECT_ELEC	0.737252	0.000000	0.000000
DHN_HP_ELEC	34.722805	0.000000	581.882323
DHN_COGEN_GAS	0.000001	0.000000	0.000171
DHN_COGEN_WOOD	0.000000	0.000000	0.000034
DHN_COGEN_WASTE	0.000001	0.000000	0.000028
DHN_COGEN_WET_BIOMASS	0.000008	0.000000	0.000113
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000049
DHN_BOILER_GAS	0.000000	0.000000	0.000031
DHN_BOILER_WOOD	0.000001	0.000000	0.000031
DHN_BOILER_OIL	0.000000	0.000000	0.000023
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000005	0.000000	0.000000
DEC_HP_ELEC	106.491664	0.000000	1164.012708
DEC_THHP_GAS	0.000010	0.000000	0.000109
DEC_COGEN_GAS	0.000003	0.000000	0.000067
DEC_COGEN_OIL	0.000003	0.000000	0.000048
DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000081
DEC_ADVCOGEN_H2	81.743756	0.000000	34.692977
DEC_BOILER_GAS	0.000002	0.000000	0.000031
DEC_BOILER_WOOD	0.000004	0.000000	0.000042
DEC_BOILER_OIL	0.000001	0.000000	0.000032
DEC_SOLAR	0.000071	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000003
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000002
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000004
BUS_COACH_FC_HYBRIDH2	0.000001	0.000000	0.000001
BUS_COACH_ELECTRIC	272.265551	0.000000	168.012031
TRAIN_PUB	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000001	0.000000	0.000003
CAR_DIESEL	0.000000	0.000000	0.000001
CAR_NG	0.000000	0.000000	0.000001
CAR_METHANOL	0.000000	0.000000	0.000001
CAR_HEV	0.000000	0.000000	0.000001
CAR_PHEV	0.000174	0.000000	0.000107
CAR_BEV	3497.091872	0.000000	568.989608
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	27.392424	0.000000	52.795724
BOAT_FREIGHT_DIESEL	0.000008	0.000000	0.000342
BOAT_FREIGHT_NG	0.000001	0.000000	0.000028
BOAT_FREIGHT_METHANOL	18.323895	0.000000	862.729960
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	550.535561	0.000000	14.249602
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	98.074468	0.000000	7.353690
SYN_METHANOLATION	0.000014	0.000000	0.000002
METHANE_TO_METHANOL	4.495395	0.000000	8.690293
BIOMASS_TO_METHANOL	0.000005	0.000000	0.000027
OIL_TO_HVC	0.000022	0.000000	0.000069
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	103.640668	0.000000	5223.811261
ADLIBIO_TO_HVC	107.476605	0.000000	10498.847246
PHS	404.931433	0.000000	0.000000
BATT_LI	36.131651	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000152	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000007	0.000000	0.000000
TS_DEC_HP_ELEC	10.787467	0.000000	0.000000
