TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.002270	0.000057	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.007425	0.961540	0.048263	0.000535
CCGT_AMMONIA	0.001026	0.000026	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000518	0.630000	0.048263	0.000242
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	35176.577460	401.717688	25.000000	0.000000	37.144493	59.200000	0.000000	0.492987	1.000000	0.117141	1.000000	0.048263	77313.661404
WIND_ONSHORE	10603.900000	123.331765	30.000000	0.000000	10.000000	10.000000	0.000000	0.253257	1.000000	0.223526	1.000000	0.041639	6228.500000
WIND_OFFSHORE	30490.679988	212.138806	30.000000	0.000000	6.000000	6.000000	0.000000	0.247773	1.000000	0.364477	1.000000	0.041639	3737.099999
HYDRO_RIVER	580.165794	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005983	1.000000	0.459168	1.000000	0.033427	145.224299
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	5912.268941	380.033792	25.000000	0.000000	4.103520	Infinity	0.000000	0.664608	1.000000	0.850000	0.850000	0.048263	4203.317177
IND_COGEN_WOOD	0.001347	0.000049	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002990	0.850000	0.048263	0.000201
IND_COGEN_WASTE	0.001088	0.000040	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000447	0.850000	0.048263	0.000233
IND_BOILER_GAS	586.552795	11.751830	17.000000	0.000000	9.960143	Infinity	0.000000	0.248601	1.000000	0.130993	0.950000	0.067080	122.708956
IND_BOILER_WOOD	0.000972	0.000019	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.003290	0.900000	0.067080	0.000244
IND_BOILER_OIL	0.000791	0.000017	17.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.002986	0.950000	0.067080	0.000178
IND_BOILER_COAL	0.001012	0.000020	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.004785	0.900000	0.067080	0.000423
IND_BOILER_WASTE	102.220820	2.044404	17.000000	0.000000	0.887488	Infinity	0.000000	0.086540	1.000000	0.511760	0.900000	0.067080	25.621767
IND_DIRECT_ELEC	4.843984	0.021974	15.000000	0.000000	0.014575	Infinity	0.000000	0.000250	1.000000	0.090098	0.950000	0.074944	0.021426
DHN_HP_ELEC	2155.991406	73.108710	25.000000	0.000000	6.094675	Infinity	0.000000	0.705506	1.000000	0.617047	0.950000	0.048263	1065.288305
DHN_COGEN_GAS	2600.432692	76.031356	25.000000	0.000000	2.025796	Infinity	0.000000	0.294494	1.000000	0.774907	0.850000	0.048263	994.422511
DHN_COGEN_WOOD	0.000922	0.000034	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001175	0.850000	0.048263	0.000138
DHN_COGEN_WASTE	0.000996	0.000037	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000360	0.850000	0.048263	0.000214
DHN_COGEN_WET_BIOMASS	0.000925	0.000075	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002091	0.750000	0.048263	0.000674
DHN_COGEN_BIO_HYDROLYSIS	0.000749	0.000037	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000266	0.850000	0.074944	0.000104
DHN_BOILER_GAS	0.000162	0.000003	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001765	0.950000	0.067080	0.000034
DHN_BOILER_WOOD	0.000334	0.000007	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001570	0.900000	0.067080	0.000084
DHN_BOILER_OIL	0.000139	0.000003	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001335	0.950000	0.067080	0.000031
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000687	0.000001	30.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.001067	1.000000	0.041639	0.000414
DEC_HP_ELEC	9447.747245	393.917994	18.000000	0.000000	18.712857	Infinity	0.000000	0.961689	1.000000	0.449254	1.000000	0.063806	3085.562992
DEC_THHP_GAS	241.614370	7.061640	20.000000	0.000000	0.745908	Infinity	0.000000	0.038311	1.000000	0.448986	1.000000	0.058246	284.884467
DEC_COGEN_GAS	0.002370	0.000152	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005467	1.000000	0.058246	0.001685
DEC_COGEN_OIL	0.001704	0.000105	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002080	1.000000	0.058246	0.001307
DEC_ADVCOGEN_GAS	0.002917	0.000054	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001220	1.000000	0.058246	0.000823
DEC_ADVCOGEN_H2	0.002035	0.000038	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000396	1.000000	0.058246	0.000574
DEC_BOILER_GAS	0.001487	0.000045	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.002856	1.000000	0.067080	0.000198
DEC_BOILER_WOOD	0.001740	0.000061	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.002480	1.000000	0.067080	0.000079
DEC_BOILER_OIL	0.001116	0.000067	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.002197	1.000000	0.067080	0.000165
DEC_SOLAR	0.010286	0.000114	20.000000	0.000000	0.000014	Infinity	0.000000	0.000000	1.000000	0.006849	1.000000	0.058246	0.003120
DEC_DIRECT_ELEC	0.001522	0.000007	15.000000	0.000000	0.000037	Infinity	0.000000	0.000000	1.000000	0.000993	1.000000	0.074944	0.000055
TRAMWAY_TROLLEY	4725.034518	94.500690	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000109	0.000005	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000526	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000145	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000520	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3529.061700	177.697940	15.000000	0.000000	5.815569	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000213	0.000008	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000718	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000970	0.000041	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.003929	0.296800	0.074944	0.000000
TRAIN_PUB	23625.649735	852.657347	40.000000	0.000000	15.687474	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	41676.000006	2400.000000	10.000000	100.000000	100.000000	Infinity	0.000000	0.595228	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000093	0.000005	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000115	0.051370	0.108434	0.000000
CAR_NG	0.000187	0.000011	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000231	0.051370	0.108434	0.000000
CAR_METHANOL	0.000137	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000173	0.051370	0.108434	0.000000
CAR_HEV	0.000095	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000119	0.051370	0.108434	0.000000
CAR_PHEV	0.041415	0.003066	10.000000	0.000000	0.000090	Infinity	0.000000	0.000000	1.000000	0.026511	0.051370	0.108434	0.000000
CAR_BEV	30293.210324	680.028068	10.000000	0.000000	68.002807	Infinity	0.000000	0.404772	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000046	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
