Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000298	0.000156	0.000000
CCGT_AMMONIA	0.000002	0.000001	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2208.911754	522.671710	0.000000
WIND_ONSHORE	433.047500	120.959984	0.000000
WIND_OFFSHORE	1242.837196	207.665977	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	268.966231	358.219263	0.000000
IND_COGEN_WOOD	0.000029	0.000022	0.000000
IND_COGEN_WASTE	0.000024	0.000018	0.000000
IND_BOILER_GAS	37.242267	11.123557	0.000000
IND_BOILER_WOOD	0.000059	0.000018	0.000000
IND_BOILER_OIL	0.000066	0.000021	0.000000
IND_BOILER_COAL	0.000077	0.000023	0.000000
IND_BOILER_WASTE	22.104691	6.590541	0.000000
IND_DIRECT_ELEC	91.068158	5.512395	0.000000
DHN_HP_ELEC	104.882899	73.689191	0.000000
DHN_COGEN_GAS	117.539674	71.205212	0.000000
DHN_COGEN_WOOD	0.000001	0.000000	0.000000
DHN_COGEN_WASTE	0.000018	0.000014	0.000000
DHN_COGEN_WET_BIOMASS	0.000026	0.000043	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000005	0.000003	0.000000
DHN_BOILER_GAS	0.000027	0.000008	0.000000
DHN_BOILER_WOOD	0.000009	0.000003	0.000000
DHN_BOILER_OIL	0.000009	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000016	0.000000	0.000000
DEC_HP_ELEC	610.905369	399.204153	0.000000
DEC_THHP_GAS	0.001317	0.000661	0.000000
DEC_COGEN_GAS	0.000119	0.000132	0.000000
DEC_COGEN_OIL	0.000201	0.000212	0.000000
DEC_ADVCOGEN_GAS	0.000191	0.000061	0.000000
DEC_ADVCOGEN_H2	0.000049	0.000016	0.000000
DEC_BOILER_GAS	0.000139	0.000062	0.000000
DEC_BOILER_WOOD	0.000034	0.000018	0.000000
DEC_BOILER_OIL	0.000107	0.000096	0.000000
DEC_SOLAR	0.000172	0.000033	0.000000
DEC_DIRECT_ELEC	0.000189	0.000011	0.000000
TRAMWAY_TROLLEY	196.746523	94.500653	0.000000
BUS_COACH_DIESEL	0.000022	0.000015	0.000000
BUS_COACH_HYDIESEL	0.000035	0.000019	0.000000
BUS_COACH_CNG_STOICH	266.347901	177.697428	0.000000
BUS_COACH_FC_HYBRIDH2	0.000046	0.000024	0.000000
BUS_COACH_ELECTRIC	0.000397	0.000232	0.000000
TRAIN_PUB	789.737048	852.657403	0.000000
CAR_GASOLINE	2278.690032	1200.000000	0.000000
CAR_DIESEL	0.000017	0.000009	0.000000
CAR_NG	0.000018	0.000009	0.000000
CAR_METHANOL	0.000020	0.000010	0.000000
CAR_HEV	0.000013	0.000009	0.000000
CAR_PHEV	0.005577	0.003832	0.000000
CAR_BEV	5551.086685	1180.027796	0.000000
CAR_FUEL_CELL	0.000017	0.000002	0.000000
TRAIN_FREIGHT	24.636890	14.740044	0.000000
BOAT_FREIGHT_DIESEL	0.000003	0.000004	0.000000
BOAT_FREIGHT_NG	0.000016	0.000024	0.000000
BOAT_FREIGHT_METHANOL	64.882632	97.049528	0.000000
TRUCK_DIESEL	945.628415	630.888903	0.000000
TRUCK_METHANOL	0.000224	0.000149	0.000000
TRUCK_FUEL_CELL	0.001574	0.000516	0.000000
TRUCK_ELEC	422.557048	300.576450	0.000000
TRUCK_NG	0.000126	0.000084	0.000000
HABER_BOSCH	11.581813	3.887669	0.000000
SYN_METHANOLATION	0.000007	0.000004	0.000000
METHANE_TO_METHANOL	0.000135	0.000122	0.000000
BIOMASS_TO_METHANOL	0.000019	0.000005	0.000000
OIL_TO_HVC	0.000023	0.000002	0.000000
GAS_TO_HVC	0.000181	0.000078	0.000000
METHANOL_TO_HVC	191.811485	296.382789	0.000000
ADLIBIO_TO_HVC	0.000266	0.000099	0.000000
PHS	8.400089	0.000000	0.000000
BATT_LI	0.001145	0.000024	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000355	0.000043	0.000000
TS_DEC_HP_ELEC	65.732592	7.900529	0.000000
TS_DEC_THHP_GAS	0.000387	0.000047	0.000000
