Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000035	0.000000	0.000032
CCGT_AMMONIA	0.000002	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1439.457208	0.000000	0.000000
WIND_ONSHORE	99.655600	0.000000	3.665090
WIND_OFFSHORE	94.362598	0.000000	5.170667
HYDRO_RIVER	1.293595	0.000000	0.016378
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	22.057853	0.000000	28.402551
IND_COGEN_WOOD	0.000005	0.000000	0.000067
IND_COGEN_WASTE	0.000003	0.000000	0.000090
IND_BOILER_GAS	1.596611	0.000000	0.000000
IND_BOILER_WOOD	0.000028	0.000000	0.000087
IND_BOILER_OIL	0.000005	0.000000	0.000000
IND_BOILER_COAL	0.000036	0.000000	0.000002
IND_BOILER_WASTE	8.983622	0.000000	319.797838
IND_DIRECT_ELEC	0.115464	0.000000	0.000000
DHN_HP_ELEC	7.857128	0.000000	1.824645
DHN_COGEN_GAS	5.268626	0.000000	10.661314
DHN_COGEN_WOOD	0.000000	0.000000	0.000040
DHN_COGEN_WASTE	0.000002	0.000000	0.000080
DHN_COGEN_WET_BIOMASS	0.000037	0.000000	0.000029
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000034
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000005	0.000000	0.000042
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000046	0.000000	0.000000
DEC_HP_ELEC	33.033582	0.000000	5.271945
DEC_THHP_GAS	0.000842	0.000000	0.000000
DEC_COGEN_GAS	0.000025	0.000000	0.000008
DEC_COGEN_OIL	0.000040	0.000000	0.000071
DEC_ADVCOGEN_GAS	0.000038	0.000000	0.000023
DEC_ADVCOGEN_H2	0.000008	0.000000	0.000017
DEC_BOILER_GAS	0.000030	0.000000	0.000000
DEC_BOILER_WOOD	0.000008	0.000000	0.000088
DEC_BOILER_OIL	0.000021	0.000000	0.000000
DEC_SOLAR	0.000502	0.000000	0.000000
DEC_DIRECT_ELEC	0.000004	0.000000	0.000000
TRAMWAY_TROLLEY	4.234413	0.000000	0.000000
BUS_COACH_DIESEL	0.000056	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000021	0.000000	0.000000
BUS_COACH_CNG_STOICH	91.231818	0.000000	0.260067
BUS_COACH_FC_HYBRIDH2	0.000029	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000398	0.000000	0.000001
TRAIN_PUB	20.980969	0.000000	0.000000
CAR_GASOLINE	480.602843	0.000000	79.131066
CAR_DIESEL	0.000005	0.000000	0.000003
CAR_NG	0.000011	0.000000	0.000004
CAR_METHANOL	0.000006	0.000000	0.000003
CAR_HEV	0.000004	0.000000	0.000002
CAR_PHEV	0.002951	0.000000	0.000201
CAR_BEV	3132.636841	0.000000	214.286235
CAR_FUEL_CELL	0.000013	0.000000	0.000004
TRAIN_FREIGHT	11.141635	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000001	0.000000	0.000000
BOAT_FREIGHT_NG	0.000004	0.000000	0.000000
BOAT_FREIGHT_METHANOL	9.895739	0.000000	0.173553
TRUCK_DIESEL	232.909987	0.000000	0.078870
TRUCK_METHANOL	0.000002	0.000000	0.000000
TRUCK_FUEL_CELL	0.000231	0.000000	0.000000
TRUCK_ELEC	223.131463	0.000000	0.030140
TRUCK_NG	0.000003	0.000000	0.000000
HABER_BOSCH	10.265430	0.000000	107.980613
SYN_METHANOLATION	0.000001	0.000000	0.000072
METHANE_TO_METHANOL	0.000006	0.000000	0.000198
BIOMASS_TO_METHANOL	0.000015	0.000000	0.000082
OIL_TO_HVC	0.000049	0.000000	0.000000
GAS_TO_HVC	0.000172	0.000000	0.000000
METHANOL_TO_HVC	150.404804	0.000000	0.000000
ADLIBIO_TO_HVC	0.000189	0.000000	0.000794
PHS	217.106942	0.000000	0.000000
BATT_LI	0.001962	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.013242	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000145	0.000000	0.000000
TS_DEC_HP_ELEC	15.531763	0.000000	0.000000
TS_DEC_THHP_GAS	0.000154	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000144	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000143	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000144	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000143	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000146	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000144	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000144	0.000000	0.000000
