TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.005810	0.000147	25.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.025267	0.961540	0.048263	0.001383
CCGT_AMMONIA	0.000043	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001025	0.630000	0.048263	0.000010
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37869.846071	432.476553	25.000000	0.000000	43.528559	59.200000	0.000000	0.529420	1.000000	0.115638	1.000000	0.048263	90601.647939
WIND_ONSHORE	10399.999701	120.959997	30.000000	0.000000	10.000000	10.000000	0.000000	0.234641	1.000000	0.223089	1.000000	0.041639	6228.499821
WIND_OFFSHORE	29847.775511	207.665969	30.000000	0.000000	5.999999	6.000000	0.000000	0.230400	1.000000	0.365094	1.000000	0.041639	3737.099438
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005538	1.000000	0.457877	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	5538.233897	355.992517	25.000000	0.000000	3.933321	Infinity	0.000000	0.477364	1.000000	0.850000	0.850000	0.048263	4028.979315
IND_COGEN_WOOD	0.001000	0.000037	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.005024	0.850000	0.048263	0.000153
IND_COGEN_WASTE	0.000497	0.000018	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000836	0.850000	0.048263	0.000110
IND_BOILER_GAS	605.432669	12.130097	17.000000	0.000000	10.280738	Infinity	0.000000	0.269636	1.000000	0.183688	0.950000	0.067080	126.658694
IND_BOILER_WOOD	0.000708	0.000014	17.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.006533	0.900000	0.067080	0.000177
IND_BOILER_OIL	0.000916	0.000020	17.000000	0.000000	0.000017	Infinity	0.000000	0.000000	1.000000	0.008502	0.950000	0.067080	0.000206
IND_BOILER_COAL	0.001307	0.000026	17.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.012188	0.900000	0.067080	0.000547
IND_BOILER_WASTE	339.171585	6.783392	17.000000	0.000000	2.944709	Infinity	0.000000	0.237906	1.000000	0.565837	0.900000	0.067080	85.013749
IND_DIRECT_ELEC	391.915326	1.777890	15.000000	0.000000	1.179260	Infinity	0.000000	0.015094	1.000000	0.089647	0.950000	0.074944	1.733512
DHN_HP_ELEC	2030.106102	68.839268	25.000000	0.000000	5.888462	Infinity	0.000000	0.687526	1.000000	0.623941	0.950000	0.048263	1029.244244
DHN_COGEN_GAS	2800.815851	81.889884	25.000000	0.000000	2.232633	Infinity	0.000000	0.312474	1.000000	0.747915	0.850000	0.048263	1095.954918
DHN_COGEN_WOOD	0.000020	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002082	0.850000	0.048263	0.000003
DHN_COGEN_WASTE	0.000369	0.000014	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000721	0.850000	0.048263	0.000082
DHN_COGEN_WET_BIOMASS	0.000682	0.000055	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002782	0.750000	0.048263	0.000508
DHN_COGEN_BIO_HYDROLYSIS	0.000281	0.000014	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000257	0.850000	0.074944	0.000040
DHN_BOILER_GAS	0.000236	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.002717	0.950000	0.067080	0.000049
DHN_BOILER_WOOD	0.000177	0.000004	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.002751	0.900000	0.067080	0.000044
DHN_BOILER_OIL	0.000199	0.000004	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.001855	0.950000	0.067080	0.000045
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000344	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000914	1.000000	0.041639	0.000210
DEC_HP_ELEC	9574.397503	399.201898	18.000000	0.000000	19.458576	Infinity	0.000000	0.999990	1.000000	0.449421	1.000000	0.063806	3208.524519
DEC_THHP_GAS	0.055643	0.001626	20.000000	0.000000	0.000176	Infinity	0.000000	0.000009	1.000000	0.452075	1.000000	0.058246	0.067320
DEC_COGEN_GAS	0.001930	0.000124	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.006394	1.000000	0.058246	0.001404
DEC_COGEN_OIL	0.005718	0.000351	20.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.013557	1.000000	0.058246	0.004486
DEC_ADVCOGEN_GAS	0.003097	0.000058	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002046	1.000000	0.058246	0.000938
DEC_ADVCOGEN_H2	0.000699	0.000013	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001086	1.000000	0.058246	0.000212
DEC_BOILER_GAS	0.002118	0.000064	17.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.004784	1.000000	0.067080	0.000282
DEC_BOILER_WOOD	0.000639	0.000022	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.004677	1.000000	0.067080	0.000029
DEC_BOILER_OIL	0.001244	0.000075	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.004962	1.000000	0.067080	0.000184
DEC_SOLAR	0.003267	0.000036	20.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.003284	1.000000	0.058246	0.001005
DEC_DIRECT_ELEC	0.002681	0.000012	15.000000	0.000000	0.000067	Infinity	0.000000	0.000000	1.000000	0.008277	1.000000	0.074944	0.000099
TRAMWAY_TROLLEY	4725.039552	94.500791	30.000000	0.000000	7.560063	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000353	0.000018	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002239	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000473	0.000019	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002309	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	3553.946344	177.697640	15.000000	0.000000	5.815559	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000273	0.000011	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.005465	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.000553	0.000024	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.006444	0.296800	0.074944	0.000000
TRAIN_PUB	23625.650865	852.657388	40.000000	0.000000	15.687475	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500008	1200.000000	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000151	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000446	0.051370	0.108434	0.000000
CAR_NG	0.000113	0.000006	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000157	0.051370	0.108434	0.000000
CAR_METHANOL	0.000127	0.000007	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000403	0.051370	0.108434	0.000000
CAR_HEV	0.000107	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000457	0.051370	0.108434	0.000000
CAR_PHEV	0.056512	0.004210	10.000000	0.000000	0.000124	Infinity	0.000000	0.000000	1.000000	0.031347	0.051370	0.108434	0.000000
CAR_BEV	51193.139952	1180.027659	10.000000	0.000000	118.002766	Infinity	0.000000	0.702386	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000147	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000636	0.051370	0.108434	0.000000
