Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000074	0.000039	0.000000
CCGT_AMMONIA	0.000558	0.000293	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834568	431.792242	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532824	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	224.202262	298.599788	0.000000
IND_COGEN_WOOD	0.000056	0.000043	0.000000
IND_COGEN_WASTE	0.000037	0.000029	0.000000
IND_BOILER_GAS	17.664386	5.276035	0.000000
IND_BOILER_WOOD	0.000035	0.000011	0.000000
IND_BOILER_OIL	0.000033	0.000011	0.000000
IND_BOILER_COAL	0.000004	0.000001	0.000000
IND_BOILER_WASTE	22.757476	6.785180	0.000000
IND_DIRECT_ELEC	174.340010	10.552863	0.000000
DHN_HP_ELEC	119.010717	83.614688	0.000000
DHN_COGEN_GAS	0.000254	0.000154	0.000000
DHN_COGEN_WOOD	0.000027	0.000021	0.000000
DHN_COGEN_WASTE	0.000031	0.000024	0.000000
DHN_COGEN_WET_BIOMASS	0.000021	0.000035	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000036	0.000023	0.000000
DHN_BOILER_GAS	0.000009	0.000003	0.000000
DHN_BOILER_WOOD	0.000013	0.000004	0.000000
DHN_BOILER_OIL	0.000007	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000007	0.000000	0.000000
DEC_HP_ELEC	491.481193	321.166384	0.000000
DEC_THHP_GAS	0.000123	0.000062	0.000000
DEC_COGEN_GAS	0.000066	0.000073	0.000000
DEC_COGEN_OIL	0.000053	0.000056	0.000000
DEC_ADVCOGEN_GAS	0.000118	0.000038	0.000000
DEC_ADVCOGEN_H2	569.061842	182.077193	0.000000
DEC_BOILER_GAS	0.000064	0.000028	0.000000
DEC_BOILER_WOOD	0.000065	0.000034	0.000000
DEC_BOILER_OIL	0.000049	0.000044	0.000000
DEC_SOLAR	0.000245	0.000047	0.000000
DEC_DIRECT_ELEC	0.000071	0.000004	0.000000
TRAMWAY_TROLLEY	207.241629	99.541628	0.000000
BUS_COACH_DIESEL	0.000005	0.000003	0.000000
BUS_COACH_HYDIESEL	0.000008	0.000004	0.000000
BUS_COACH_CNG_STOICH	0.000007	0.000004	0.000000
BUS_COACH_FC_HYBRIDH2	0.000029	0.000015	0.000000
BUS_COACH_ELECTRIC	1137.022665	670.008194	0.000000
TRAIN_PUB	0.000104	0.000112	0.000000
CAR_GASOLINE	0.000006	0.000003	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000007	0.000004	0.000000
CAR_METHANOL	0.000007	0.000003	0.000000
CAR_HEV	0.000008	0.000005	0.000000
CAR_PHEV	0.003055	0.002076	0.000000
CAR_BEV	7957.106220	1769.645792	0.000000
CAR_FUEL_CELL	0.000013	0.000002	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000068	0.000098	0.000000
BOAT_FREIGHT_NG	0.000002	0.000003	0.000000
BOAT_FREIGHT_METHANOL	73.488324	106.289954	0.000000
TRUCK_DIESEL	0.000001	0.000000	0.000000
TRUCK_METHANOL	0.000001	0.000000	0.000000
TRUCK_FUEL_CELL	1847.525177	621.044287	0.000000
TRUCK_ELEC	0.000048	0.000034	0.000000
TRUCK_NG	0.000005	0.000003	0.000000
HABER_BOSCH	55.030950	18.472307	0.000000
SYN_METHANOLATION	0.000065	0.000032	0.000000
METHANE_TO_METHANOL	3.542161	3.209168	0.000000
BIOMASS_TO_METHANOL	0.000046	0.000012	0.000000
OIL_TO_HVC	0.000042	0.000004	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	123.168171	190.315702	0.000000
ADLIBIO_TO_HVC	157.431035	59.057072	0.000000
PHS	8.400083	0.000000	0.000000
BATT_LI	37.671604	0.777126	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000149	0.000018	0.000000
TS_DEC_HP_ELEC	57.374648	6.895831	0.000000
TS_DEC_THHP_GAS	0.000150	0.000018	0.000000
TS_DEC_COGEN_GAS	0.000149	0.000018	0.000000
TS_DEC_COGEN_OIL	0.000149	0.000018	0.000000
TS_DEC_ADVCOGEN_GAS	0.000149	0.000018	0.000000
TS_DEC_ADVCOGEN_H2	17.305416	2.079930	0.000000
TS_DEC_BOILER_GAS	0.000149	0.000018	0.000000
TS_DEC_BOILER_WOOD	0.000149	0.000018	0.000000
TS_DEC_BOILER_OIL	0.000149	0.000018	0.000000
TS_DHN_DAILY	0.000138	0.000012	0.000000
TS_DHN_SEASONAL	24.736028	2.789296	0.000000
TS_HIGH_TEMP	58.535478	12.980724	0.000000
GAS_STORAGE	0.000079	0.000072	0.000000
H2_STORAGE	10.196266	11.029377	0.000000
DIESEL_STORAGE	0.002335	0.001604	0.000000
GASOLINE_STORAGE	0.005537	0.003803	0.000000
LFO_STORAGE	0.000258	0.000177	0.000000
AMMONIA_STORAGE	0.000002	0.000001	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.001630	0.000391	0.000000
ADLIBIO_TO_FUEL	0.000042	0.000013	0.000000
