Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000008	0.000000	0.001772
CCGT_AMMONIA	0.000076	0.000000	0.000276
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1011.157948	0.000000	0.000000
WIND_ONSHORE	102.107232	0.000000	0.572847
WIND_OFFSHORE	96.182602	0.000000	0.816666
HYDRO_RIVER	2.193013	0.000000	0.002562
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	41.480733	0.000000	9598.190269
IND_COGEN_WOOD	0.000006	0.000000	0.002411
IND_COGEN_WASTE	0.000006	0.000000	0.000299
IND_BOILER_GAS	1.891364	0.000000	1415.183558
IND_BOILER_WOOD	0.000012	0.000000	0.000964
IND_BOILER_OIL	0.000004	0.000000	0.000365
IND_BOILER_COAL	0.000002	0.000000	0.000000
IND_BOILER_WASTE	8.355450	0.000000	3500.091568
IND_DIRECT_ELEC	0.388378	0.000000	0.000000
DHN_HP_ELEC	35.554642	0.000000	582.023399
DHN_COGEN_GAS	0.000022	0.000000	0.008143
DHN_COGEN_WOOD	0.000001	0.000000	0.000338
DHN_COGEN_WASTE	0.000005	0.000000	0.000211
DHN_COGEN_WET_BIOMASS	0.000043	0.000000	0.000901
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000000	0.000306
DHN_BOILER_GAS	0.000001	0.000000	0.000191
DHN_BOILER_WOOD	0.000004	0.000000	0.000259
DHN_BOILER_OIL	0.000001	0.000000	0.000169
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000026	0.000000	0.000000
DEC_HP_ELEC	108.084534	0.000000	1181.854969
DEC_THHP_GAS	0.000083	0.000000	0.002442
DEC_COGEN_GAS	0.000020	0.000000	0.000729
DEC_COGEN_OIL	0.000017	0.000000	0.000428
DEC_ADVCOGEN_GAS	0.000016	0.000000	0.000773
DEC_ADVCOGEN_H2	75.413693	0.000000	33.304623
DEC_BOILER_GAS	0.000008	0.000000	0.000212
DEC_BOILER_WOOD	0.000022	0.000000	0.000398
DEC_BOILER_OIL	0.000007	0.000000	0.000246
DEC_SOLAR	0.000486	0.000000	0.000000
DEC_DIRECT_ELEC	0.000001	0.000000	0.000000
TRAMWAY_TROLLEY	5.209669	0.000000	0.000000
BUS_COACH_DIESEL	0.000001	0.000000	0.000019
BUS_COACH_HYDIESEL	0.000001	0.000000	0.000015
BUS_COACH_CNG_STOICH	0.000002	0.000000	0.000024
BUS_COACH_FC_HYBRIDH2	0.000006	0.000000	0.000004
BUS_COACH_ELECTRIC	272.265521	0.000000	168.012013
TRAIN_PUB	0.000002	0.000000	0.000001
CAR_GASOLINE	0.000002	0.000000	0.000007
