Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	359.898594	0.000000	3.620349
CCGT_AMMONIA	3224.641251	0.000000	752.970294
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	793.194411	0.000000	0.000000
WIND_ONSHORE	1939.259356	0.000000	49.649857
WIND_OFFSHORE	638.855730	0.000000	75.555555
HYDRO_RIVER	42.653555	0.000000	-3.372931
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	234.264055	0.000000	43.408456
IND_COGEN_WOOD	208.680841	0.000000	0.516750
IND_COGEN_WASTE	236.884518	0.000000	1.924384
IND_BOILER_GAS	256.601595	0.000000	0.000000
IND_BOILER_WOOD	402.510262	0.000000	0.121032
IND_BOILER_OIL	239.993200	0.000000	0.000000
IND_BOILER_COAL	3.938702	0.000000	0.000000
IND_BOILER_WASTE	393.631698	0.000000	2.319842
IND_DIRECT_ELEC	126.684107	0.000000	0.000000
DHN_HP_ELEC	255.557109	0.000000	5.792712
DHN_COGEN_GAS	345.669069	0.000000	33.337149
DHN_COGEN_WOOD	192.252382	0.000000	0.636539
DHN_COGEN_WASTE	222.282246	0.000000	1.914017
DHN_COGEN_WET_BIOMASS	943.471269	0.000000	47.507120
DHN_COGEN_BIO_HYDROLYSIS	870.539089	0.000000	47.480871
DHN_BOILER_GAS	208.204518	0.000000	0.000000
DHN_BOILER_WOOD	329.673741	0.000000	0.105436
DHN_BOILER_OIL	199.786379	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	179.321170	0.000000	0.000000
DEC_HP_ELEC	846.608220	0.000000	26.064805
DEC_THHP_GAS	786.756812	0.000000	0.000000
DEC_COGEN_GAS	444.942769	0.000000	34.462836
DEC_COGEN_OIL	444.549700	0.000000	3.091226
DEC_ADVCOGEN_GAS	540.088999	0.000000	98.211715
DEC_ADVCOGEN_H2	626.639776	0.000000	189.456591
DEC_BOILER_GAS	398.615215	0.000000	0.000000
DEC_BOILER_WOOD	3065.634136	0.000000	0.107400
DEC_BOILER_OIL	340.539075	0.000000	0.000000
DEC_SOLAR	587.498825	0.000000	0.000000
DEC_DIRECT_ELEC	382.890349	0.000000	0.000000
TRAMWAY_TROLLEY	94.203070	0.000000	0.000000
BUS_COACH_DIESEL	179.086004	0.000000	0.152583
BUS_COACH_HYDIESEL	489.450258	0.000000	0.417545
BUS_COACH_CNG_STOICH	137.688554	0.000000	0.114305
BUS_COACH_FC_HYBRIDH2	463.744997	0.000000	0.352212
BUS_COACH_ELECTRIC	591.710096	0.000000	0.448639
TRAIN_PUB	460.411502	0.000000	0.000000
CAR_GASOLINE	189.522153	0.000000	38.131554
CAR_DIESEL	1173.786018	0.000000	237.380655
CAR_NG	15548.461686	0.000000	3016.027410
CAR_METHANOL	461.703820	0.000000	93.048236
CAR_HEV	794.858203	0.000000	152.320077
CAR_PHEV	2148.971743	0.000000	153.900160
CAR_BEV	10466.029129	0.000000	1308.148866
CAR_FUEL_CELL	25.786869	0.000000	1.326539
TRAIN_FREIGHT	307.944848	0.000000	0.000000
BOAT_FREIGHT_DIESEL	54.873804	0.000000	1.146924
BOAT_FREIGHT_NG	216.207586	0.000000	4.120356
BOAT_FREIGHT_METHANOL	3.235675	0.000000	0.050796
TRUCK_DIESEL	5551.988414	0.000000	0.628425
TRUCK_METHANOL	25.945555	0.000000	0.002764
TRUCK_FUEL_CELL	5640.215389	0.000000	0.297503
TRUCK_ELEC	12.410624	0.000000	0.000023
TRUCK_NG	3.756288	0.000000	7.035370
HABER_BOSCH	485.752039	0.000000	0.104753
SYN_METHANOLATION	563.856680	0.000000	5.728429
METHANE_TO_METHANOL	58.777094	0.000000	0.724153
BIOMASS_TO_METHANOL	603.501625	0.000000	22.742449
OIL_TO_HVC	944.231954	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	7232.012980	0.000000	0.000000
ADLIBIO_TO_FUEL	584.351795	0.000000	22.288725
PHS	8395.194138	0.000000	0.000000
BATT_LI	249.774935	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	2404.182028	0.000000	0.000000
TS_DEC_DIRECT_ELEC	1713.602844	0.000000	0.000000
TS_DEC_HP_ELEC	1570.354036	0.000000	0.000000
TS_DEC_THHP_GAS	1755.173870	0.000000	0.000000
TS_DEC_COGEN_GAS	1790.703003	0.000000	0.000000
TS_DEC_COGEN_OIL	1752.685569	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	1764.562098	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	1772.357685	0.000000	0.000000
TS_DEC_BOILER_GAS	1777.113756	0.000000	0.000000
TS_DEC_BOILER_WOOD	1643.779148	0.000000	0.000000
TS_DEC_BOILER_OIL	1791.771606	0.000000	0.000000
TS_DHN_DAILY	1420.796184	0.000000	0.000000
TS_DHN_SEASONAL	11675.266095	0.000000	0.000000
TS_HIGH_TEMP	1927.110248	0.000000	0.000000
GAS_STORAGE	3246.846041	0.000000	0.000000
H2_STORAGE	4283.098076	0.000000	0.000000
DIESEL_STORAGE	5976.821877	0.000000	0.000000
GASOLINE_STORAGE	6068.064809	0.000000	0.000000
LFO_STORAGE	6964.112798	0.000000	0.000000
AMMONIA_STORAGE	2923.810690	0.000000	0.000000
METHANOL_STORAGE	25593.221216	0.000000	0.000000
CO2_STORAGE	5287.091616	0.000000	0.000000
ADLIBIO_TO_HVC	572.324875	0.000000	17.427978
AMMONIA_TO_H2	883.251329	0.000000	0.000000
ATM_CCS	803.460217	0.000000	1634.883569
BIO_HYDROLYSIS	1947.997417	0.000000	44.578778
BIOMETHANATION	887.929083	0.000000	46.986506
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	1853.298162	0.000000	39.049938
GRID	713.234660	0.000000	0.000000
H2_BIOMASS	2442.784707	0.000000	1.250368
H2_ELECTROLYSIS	221.885545	0.000000	2.008484
INDUSTRY_CCS	0.000000	0.000000	8.088758
REDIFUEL	877.156953	0.000000	6.572151
SMR	0.000000	0.000000	0.950646
SYN_METHANATION	4282.557367	0.000000	25.935771
AMMONIA	0.000000	21.864186	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	152.160448	0.000000
BIODIESEL	0.000000	328.083868	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	284.542062	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	757.021429	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	1206.956753	0.000000
GAS	0.000000	97.451123	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	1.551054	0.000000
GASOLINE	0.000000	766.587831	0.000000
H2	0.000000	0.587189	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.559775	0.000000
LFO	0.000000	445.673046	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	148.980018	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	153.209889	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	1835.621309	0.000000
WOOD	0.000000	9191.707755	0.000000
WOOD_PRODUCTION	0.000000	0.000000	0.000000
