Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.229086	3.451594	0.057156		3.940196	0.000001	0.000000						-0.000000	-1.593072	0.000000	0.000000	0.000000	0.000000	0.000000						-2.068408		0.000000	0.000000	0.000000	0.000433					-0.000000	-0.008175					-0.014985	-0.014125						-0.000000	-0.056183		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000016	-0.000000	6.235312	-0.000002	0.056184	-0.000001	0.000000																																											-11.255734	
 1 	 2	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.423859	3.341167	0.057117		3.940197	0.000001	0.000000						-0.000000	-0.988914	0.000000	0.000000	0.000000	0.000000	0.000000						-1.971477		0.000000	0.000000	0.000000	0.009478					-0.000000	-0.003273					-0.005999	-0.005655						-0.000000	-0.022492		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000062	-0.000000	4.774710	-0.000003	0.022493	-0.000001	0.000000																																											-10.611978	
 1 	 3	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.500241	3.526336	0.057082		3.940199	0.000001	0.000000						-0.000000	-0.103659	0.000000	0.000000	0.000000	0.000000	0.000000						-2.029639		0.000000	0.000000	0.000000	0.524025					-0.000000	-0.001629					-0.002987	-0.002815						-0.000000	-0.011198		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000068	-0.000000	2.591666	-0.000003	0.011199	-0.000001	0.000000																																											-10.039591	
 1 	 4	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.646168	3.612629	0.057043		3.940199	0.000001	0.000000						-0.000000	-0.112627	0.000000	0.000000	0.000000	0.000000	0.000000						-2.049018		0.000000	0.000000	0.000001	0.524030					-0.000000	-0.019637					-0.035994	-0.033928						-0.000000	-0.134955		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000084	-0.000000	1.983287	-0.000003	0.134955	-0.000001	0.000000																																											-9.552940	
 1 	 5	0.000000																										-0.000000										0.000000	0.000000			0.000000	2.263956	2.796955	0.057006		3.940199	0.000002	0.000000						-0.000000	-0.121699	0.000000	0.000000	0.000000	0.000000	0.000000						-2.068409		0.000000	0.000000	0.000001	0.524031					-0.000000	-0.052366					-0.095984	-0.090475						-0.000000	-0.359879		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.003795	-0.000000	2.129875	-0.000002	0.359879	-0.000001	0.000000																																											-9.327589	
 1 	 6	0.000000																										-0.000000										0.000000	0.000000			0.000000	2.203642	2.807640	0.056968		3.940199	0.000001	0.000000						-0.000000	-0.130797	0.000000	0.000000	0.000000	0.000000	0.000000						-2.087789		0.000000	0.000000	0.000001	0.524032					-0.000000	-0.130915					-0.239960	-0.226187						-0.000000	-0.899697		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	1.162852	-0.000000	1.375405	-0.000003	0.899697	-0.000001	0.000000																																											-9.295794	
 1 	 7	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.881335	3.712387	0.056929		3.940199	0.000001	0.000000						-0.000000	-0.139909	0.000000	0.000000	0.000000	0.000000	0.000000						-2.107179		0.000000	0.000000	0.000001	0.524032					-0.000000	-0.253614					-0.464858	-0.438177						-0.000001	-1.742923		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	1.163858	-0.000000	1.453288	-0.000003	1.742924	-0.000001	0.000001																																											-9.368995	
 1 	 8	0.000000																										-0.000000										0.000000	0.000000			0.000000	2.248392	4.171104	0.056891		3.940206	0.000002	0.000000						-0.000000	-0.149249	0.000000	0.000000	0.000000	0.000000	0.000000						-2.126570		0.000000	0.000000	0.000001	0.524032					-0.000000	-0.220889					-0.404876	-0.381638						-0.000001	-1.518028		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	1.163871	-0.000000	0.267577	-0.000001	1.518032	-0.000001	0.000001																																											-9.129562	
 1 	 9	0.000000																										-0.000000										0.000000	0.000000			0.002041	3.193102	4.271337	0.056852		3.940195	0.000001	0.000000						-0.000000	-0.149364	0.000000	0.000000	0.000000	0.000000	0.000000						-2.126570		0.000000	0.000000	0.000000	0.524032					-0.000000	-0.204528					-0.374886	-0.353369						-0.000001	-1.405585		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.385369	-0.000000	0.000030	-0.000001	1.405592	-0.000001	0.000001																																											-9.204955	
 1 	 10	0.000000																										-0.000000										0.000000	0.000000			5.026728	3.481990	4.374234	0.056814		2.339859	0.000000	0.000000						-0.000001	-1.593375	0.000000	0.000000	0.000000	0.000000	0.000000						-2.087789		0.000000	0.000000	0.000000	0.000003					-0.000000	-0.229071					-0.419873	-0.395774						-0.000001	-1.574259		-0.163725							-0.000000		-0.004538	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.000000		-0.000002	0.208970							-0.000000	-0.000000	-0.000000			-0.000000	0.000002	-0.000000	0.000002	-1.067823	1.574259	-0.000001	0.000001																																											-9.526628	
