Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																		6.325988	0.000000	0.000000	0.000000	0.000000	0.000164	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.027031	3.027034	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.030916	0.132614	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.427857	
 1 	 2																																																																		6.029534	0.000000	0.000000	0.000000	0.000000	0.003595	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.017613	3.017615	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.032033	0.125527	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.126628	
 1 	 3																																																																		6.207417	0.000000	0.000000	0.000000	0.000000	0.198765	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016834	3.016833	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.128908	0.030096	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.307373	
 1 	 4																																																																		6.266685	0.000000	0.000000	0.000000	0.000000	0.198767	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.017077	3.017078	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.128243	0.030383	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.367597	
 1 	 5																																																																		6.325991	0.000000	0.000000	0.000000	0.000000	0.198768	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.017011	3.017011	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.127585	0.030679	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.427857	
 1 	 6																																																																		6.385260	0.000000	0.000000	0.000000	0.000000	0.198768	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016987	3.016987	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.126932	0.030981	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.488081	
 1 	 7																																																																		6.444565	0.000000	0.000000	0.000000	0.000000	0.198768	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016988	3.016990	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.126303	0.031306	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.548341	
 1 	 8																																																																		6.503870	0.000000	0.000000	0.000000	0.000000	0.198768	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016987	3.016988	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.125662	0.031621	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.608601	
 1 	 9																																																																		6.503868	0.000000	0.000000	0.000000	0.000000	0.198768	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016984	3.016987	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.125772	0.031731	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.608601	
 1 	 10																																																																		6.385260	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.016983	3.016984	-0.000030	0.000032	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.028704	0.131519	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.488081	
 1 	 11																																																																		7.866563	0.000005	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-3.932562	2.332685	-0.000033	0.000029	-0.000031	0.000030	-0.000031	0.000031	-0.000031	0.000031	-0.029306	0.130214	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031																							-6.367597	
 1 	 12																																																																		14.593456	0.000010	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000002																																																								-0.000032	0.000030	-8.642801	0.138152	-0.000035	0.000027	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.030207	0.128250	-0.000031	0.000030	-0.000031	0.000031	-0.000031	0.000031																							-6.186852	
 1 	 13																																																																		14.593456	0.000010	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000																																																								-0.000031	0.000031	-8.731087	0.107863	-0.000035	0.000027	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.030812	0.126945	-0.000031	0.000030	-0.000031	0.000031	-0.000031	0.000031																							-6.066368	
 1 	 14																																																																		14.593456	0.000010	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000011																																																								-0.000036	0.000026	-8.731210	0.107986	-0.000035	0.000027	-0.000031	0.000031	-0.000031	0.000031	-0.000031	0.000031	-0.030812	0.126946	-0.000031	0.000030	-0.000031	0.000031	-0.000031	0.000031																							-6.066368	
