source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.17,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.47,Ammonia,#000ECD,TWh
H2,Haber-Bosch,0.34,H2,#FF00FF,TWh
Elec,Haber-Bosch,0.04,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,0.04,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,0.30,Ammonia,#000ECD,TWh
Imp. Methanol RE,Methanol,45.96,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,12.76,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,8.35,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.58,Methanol,#CC0066,TWh
Methanol,MTO,52.73,Methanol,#CC0066,TWh
Heat HT,MTO,14.02,Heat HT,#DC143C,TWh
MTO,HVC,42.48,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.48,HVC,#00FFFF,TWh
Imp. Gasoline,Gasoline,6.28,Gasoline,#808080,TWh
Gasoline,Mob priv,-6.28,Gasoline,#808080,TWh
Imp. Diesel,Diesel,8.39,Diesel,#D3D3D3,TWh
Diesel,Freight,8.39,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,94.05,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,Freight,3.10,GAS,#FFD700,TWh
Gas,CHP,84.54,GAS,#FFD700,TWh
Gas,Boilers,10.10,GAS,#FFD700,TWh
Electricity,Elec,29.18,Electricity,#00BFFF,TWh
Wind,Elec,40.79,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,H2 prod,34.72,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,9.57,Electricity,#00BFFF,TWh
Elec,Mob public,3.80,Electricity,#00BFFF,TWh
Elec,Freight,1.43,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.15,Electricity,#00BFFF,TWh
Elec,Curt.,0.54,Electricity,#00BFFF,TWh
Elec,Elec demand,89.45,Electricity,#00BFFF,TWh
Solar,Curt.,0.48,Solar,#FFFF00,TWh
Wind,Curt.,2.17,Wind,#27AE34,TWh
Elec,Storage,11.10,Electricity,#00BFFF,TWh
Storage,Elec demand,9.76,Electricity,#00BFFF,TWh
Elec,HPs,35.28,Electricity,#00BFFF,TWh
Elec,HT sto,8.07,Electricity,#00BFFF,TWh
HT sto,Heat HT,8.03,Heat HT,#DC143C,TWh
Elec,Heat HT,2.21,Electricity,#00BFFF,TWh
H2 prod,H2 sto.,0.02,H2,#FF00FF,TWh
H2 sto.,H2,0.02,H2,#FF00FF,TWh
H2 prod,H2,15.08,H2,#FF00FF,TWh
H2,CHP,5.48,H2,#FF00FF,TWh
H2,Freight,9.28,H2,#FF00FF,TWh
CHP,Elec,40.37,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.32,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,0.89,Heat LT,#FA8072,TWh
CHP,Heat HT,38.89,Heat HT,#DC143C,TWh
HPs,Dec. sto,11.26,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,62.16,Heat LT,#FA8072,TWh
HPs,DHN,45.95,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,11.08,Heat LT,#FA8072,TWh
Boilers,Heat HT,23.96,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,36.11,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.30,Heat LT,#FA8072,TWh
DHN,DHN Sto,7.58,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,7.43,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,59.06,Heat HT,#DC143C,TWh
