Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_FUEL	ADLIBIO_TO_HVC	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1	0.000000																										0.000000										0.000000	0.000000			0.000000	1.259247	3.566232	0.057195		3.343680	0.000000	0.000000						-0.000000	-0.867934	0.000000	0.000000	0.000000	0.000000	0.000000						-1.956997		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.007882						-0.000000						-0.000000	-0.059360		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	7.328295	-0.052918	0.059360	-0.000000	0.000000																																											-11.849944	
 1 	 2	0.000000																										0.000000										0.000000	0.000000			0.000000	1.458799	3.452138	0.057157		3.343680	0.000000	0.000000						-0.000000	-0.261265	0.000000	0.000000	0.000000	0.000000	0.000000						-1.865538		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.003156						-0.000000						-0.000000	-0.023764		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	5.877805	-0.054228	0.023764	-0.000000	0.000000																																											-11.186418	
 1 	 3	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.537055	3.643457	0.057121		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-1.920416		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.001571						-0.000000						-0.000000	-0.011832		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	4.787067	-0.055417	0.011832	-0.000000	0.000000																																											-10.572003	
 1 	 4	0.000000																										-0.000000										0.000000	0.000000			0.000000	1.686564	3.732615	0.057083		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-1.938701		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.018933						-0.000000						-0.000000	-0.142585		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	4.084481	-0.057051	0.142585	-0.000000	0.000000																																											-10.070763	
 1 	 5	0.000000																										-0.000000										0.000000	0.000000			0.000000	2.319512	2.889851	0.057045		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-1.956997		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.050488						-0.000000						-0.000000	-0.380227		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	4.113790	-0.059032	0.380227	-0.000000	0.000000																																											-9.838386	
 1 	 6	0.000000																										-0.000000										0.000000	0.000000			0.000000	2.257717	2.900891	0.057007		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-1.975282		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.126221						-0.000000						-0.000000	-0.950567		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	4.229433	-0.062594	0.950567	-0.000000	0.000000																																											-9.805656	
 1 	 7	0.000000																										0.000000										0.000000	0.000000			0.000000	1.927501	3.835687	0.056968		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-1.993578		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.244520						-0.000000						-0.000000	-1.841470		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	0.000786	-0.000000	3.838084	-0.064364	1.841470	-0.000000	0.000000																																											-9.881270	
 1 	 8	0.000000																										0.000000										0.000000	0.000000			0.000000	2.303565	4.309639	0.056930		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-2.011875		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.212969						-0.000000						-0.000000	-1.603859		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	1.513211	-0.000000	1.151440	-0.000000	1.603859	-0.000000	0.000000																																											-9.634648	
 1 	 9	0.000000																										0.000000										0.000000	0.000000			0.002053	3.271458	4.413202	0.056891		3.343680	0.000000	0.000000						-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000						-2.011875		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.197194						-0.000000						-0.000000	-1.485058		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.208971							-0.000000	-0.000000	-0.000000			-0.000000	1.513211	-0.000000	0.139620	-0.000000	1.485058	-0.000000	0.000000																																											-9.712073	
 1 	 10	0.000000																										0.000000										0.000000	0.000000			5.055927	3.567435	4.519516	0.056853		2.429153	0.000000	0.000000						-0.000000	-0.867934	0.000000	0.000000	0.000000	0.000000	0.000000						-1.975282		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.220857						-0.000000						-0.000000	-1.663269		-0.162609							-1.067076		-0.000000	-0.000000		0.201739	-0.000000			-0.000000	-0.000000		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	0.000000	-0.000000	0.000000	-1.449215	1.663269	-0.000000	0.000000																																											-10.087648	
