source,target,realValue,layerID,layerColor,layerUnit
Prod. Ammonia RE,Ammonia,10.56,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.56,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,45.83,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,13.69,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,8.95,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.60,Methanol,#CC0066,TWh
Methanol,MTO,53.19,Methanol,#CC0066,TWh
Heat HT,MTO,14.14,Heat HT,#DC143C,TWh
MTO,HVC,42.85,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.85,HVC,#00FFFF,TWh
Diesel,Freight,2.74,Diesel,#D3D3D3,TWh
Gas Prod,Gas,69.66,GAS,#FFD700,TWh
Gas,CHP,33.05,GAS,#FFD700,TWh
Gas,Boilers,22.92,GAS,#FFD700,TWh
Electricity,Elec,4.28,Electricity,#00BFFF,TWh
Wind,Elec,41.42,Wind,#27AE34,TWh
Hydro River,Elec,0.49,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Elec,Mob priv,10.11,Electricity,#00BFFF,TWh
Elec,Mob public,3.66,Electricity,#00BFFF,TWh
Elec,Freight,1.42,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.93,Electricity,#00BFFF,TWh
Elec,Curt.,0.07,Electricity,#00BFFF,TWh
Elec,Elec demand,104.72,Electricity,#00BFFF,TWh
Solar,Curt.,0.08,Solar,#FFFF00,TWh
Wind,Curt.,1.54,Wind,#27AE34,TWh
Elec,Storage,0.60,Electricity,#00BFFF,TWh
Storage,Elec demand,0.45,Electricity,#00BFFF,TWh
Elec,HPs,20.76,Electricity,#00BFFF,TWh
Elec,HT sto,14.06,Electricity,#00BFFF,TWh
HT sto,Heat HT,13.93,Heat HT,#DC143C,TWh
Elec,Heat HT,5.94,Electricity,#00BFFF,TWh
Elec,Electrolyser,0.22,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,0.04,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,0.20,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.00,Heat LT,#FA8072,TWh
H2 prod,H2,0.20,H2,#FF00FF,TWh
H2,CHP,116.85,H2,#FF00FF,TWh
H2,Freight,15.57,H2,#FF00FF,TWh
H2,Gas Prod,83.59,H2,#FF00FF,TWh
CHP,Elec,82.32,Electricity,#00BFFF,TWh
CHP,Dec. sto,3.73,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,21.97,Heat LT,#FA8072,TWh
CHP,Heat HT,15.20,Heat HT,#DC143C,TWh
HPs,Dec. sto,8.20,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,39.33,Heat LT,#FA8072,TWh
HPs,DHN,24.48,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,10.98,Heat LT,#FA8072,TWh
Boilers,DHN,0.02,Heat LT,#FA8072,TWh
Boilers,Heat HT,35.83,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,38.99,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.25,Heat LT,#FA8072,TWh
DHN,DHN Sto,3.81,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,3.47,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,56.71,Heat HT,#DC143C,TWh
