Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000173	0.000000	-0.002466
CCGT_AMMONIA	0.000091	0.000000	0.000002
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	6710.433215	0.000000	0.000000
WIND_ONSHORE	3283.873054	0.000000	72.060251
WIND_OFFSHORE	1030.677231	0.000000	102.337208
HYDRO_RIVER	34.059572	0.000000	-7.780453
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	660.900097	0.000000	887.254440
IND_COGEN_WOOD	0.000101	0.000000	0.000010
IND_COGEN_WASTE	0.000075	0.000000	0.000013
IND_BOILER_GAS	42.903911	0.000000	0.000000
IND_BOILER_WOOD	0.000426	0.000000	0.000002
IND_BOILER_OIL	4.308137	0.000000	0.000000
IND_BOILER_COAL	0.001065	0.000000	0.000054
IND_BOILER_WASTE	41.613427	0.000000	36.519459
IND_DIRECT_ELEC	0.000007	0.000000	0.000000
DHN_HP_ELEC	132.168453	0.000000	10.055913
DHN_COGEN_GAS	94.901281	0.000000	107.200933
DHN_COGEN_WOOD	0.000040	0.000000	0.000004
DHN_COGEN_WASTE	0.000068	0.000000	0.000011
DHN_COGEN_WET_BIOMASS	0.001839	0.000000	0.000356
DHN_COGEN_BIO_HYDROLYSIS	0.000111	0.000000	0.000435
DHN_BOILER_GAS	0.000008	0.000000	0.000000
DHN_BOILER_WOOD	0.000151	0.000000	0.000001
DHN_BOILER_OIL	0.000008	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000496	0.000000	0.000000
DEC_HP_ELEC	496.968862	0.000000	24.980143
DEC_THHP_GAS	0.040936	0.000000	0.000000
DEC_COGEN_GAS	0.000209	0.000000	0.000063
DEC_COGEN_OIL	0.000412	0.000000	0.000057
DEC_ADVCOGEN_GAS	0.000309	0.000000	0.000263
DEC_ADVCOGEN_H2	0.000206	0.000000	0.000097
DEC_BOILER_GAS	0.000134	0.000000	0.000000
DEC_BOILER_WOOD	0.001490	0.000000	0.000001
DEC_BOILER_OIL	0.000103	0.000000	0.000000
DEC_SOLAR	0.003847	0.000000	0.000000
DEC_DIRECT_ELEC	0.000021	0.000000	0.000000
TRAMWAY_TROLLEY	73.308688	0.000000	0.000000
