Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1													-0.000000	0.000000																							0.000000	0.000000			0.000000	1.216152	3.422255	0.057152		6.522493	0.000000	0.000000						-0.000000	-0.138115	0.137219	0.000000	0.000000	0.000000	0.000000						-1.931303		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.008643					-0.000000	-0.014936						-0.000000	-0.030958		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	0.494079	-0.000000	0.000002	-0.000000	1.646409	-0.000000	0.000000																																											-11.169730	
 1 	 2													-0.000000	0.000000																							0.000000	0.000000			0.000000	1.408875	3.312767	0.057114		6.522493	0.000000	0.000000						-0.000000	-0.197764	0.144572	0.000000	0.000000	0.000000	0.000000						-2.120326		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.003460					-0.000000	-0.005979						-0.000000	-0.012394		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	0.000058	-0.000000	0.000002	-0.000000	1.630364	-0.000000	0.000000																																											-10.534243	
 1 	 3													-0.000000	0.000000																							0.000000	0.000000			0.000000	1.484453	3.496362	0.057078		6.522493	0.000000	0.000000						-0.000000	-0.833640	0.147047	0.000000	0.000000	0.000000	0.000000						-2.182861		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.001723					-0.000000	-0.002977						-0.000000	-0.006170		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	0.000305	-0.000000	0.000002	-0.000000	1.467277	-0.000000	0.000000																																											-9.945568	
 1 	 4													-0.000000	0.000000																							0.000000	0.000000			0.000000	1.628844	3.581921	0.057040		6.522493	0.000000	0.000000						-0.000000	-0.327821	0.119902	0.000000	0.000000	0.000000	0.000000						-2.203698		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.020761					-0.000000	-0.035876						-0.000000	-0.074362		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	0.343959	-0.000000	0.000002	-0.000000	0.074417	-0.000000	0.000000																																											-9.463983	
 1 	 5													-0.000000	0.000000																							0.000000	0.000000			0.000000	2.240131	2.773181	0.057003		6.522495	0.000000	0.000000						-0.000000	-1.010169	0.070564	0.000000	0.000000	0.000000	0.000000						-2.224547		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.055363					-0.000000	-0.095669						-0.000000	-0.198299		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	1.163560	-0.000000	0.000002	-0.000000	0.198324	-0.000000	0.000000																																											-9.239134	
 1 	 6													-0.000000	0.000000																							0.000000	0.000000			0.000000	2.180451	2.783775	0.056964		6.480393	0.000000	0.000000						-0.000000	-0.637930	0.000007	0.000000	0.000000	0.000000	0.000000						-2.245384		0.000000	0.000002	0.000000	0.000000					-0.000000	-0.138409					-0.000000	-0.239173						-0.000000	-0.495747		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000000	-0.000000	-0.000000			-0.000000	1.163812	-0.000000	0.000002	-0.000000	0.495767	-0.000000	0.000000																																											-9.202451	
 1 	 7													-0.000000	0.000000																							0.000000	0.000000			0.000000	1.861536	3.680832	0.056926		6.317648	0.000000	0.000000						-0.000000	-0.613925	0.000009	0.000000	0.000000	0.000000	0.000000						-2.266232		0.000000	0.000002	0.000000	0.000000					-0.000000	-0.268130					-0.000000	-0.463335						-0.000000	-0.960377		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000003							-0.000000	-0.000000	-0.000000			-0.000000	1.163935	-0.000000	0.000003	-0.000000	0.960393	-0.000000	0.000000																																											-9.267208	
 1 	 8													-0.000000	0.000000																							0.000000	0.000000			0.000000	2.224730	4.135649	0.056887		6.361052	0.000000	0.000000						-0.000000	-1.451875	0.000001	0.000000	0.000000	0.000000	0.000000						-2.287083		0.000000	0.000001	0.000000	0.000000					-0.000000	-0.233532					-0.000000	-0.403549						-0.000000	-0.836456		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000001							-0.000001	-0.000000	-0.000000			-0.000000	0.000001	-0.000000	0.000001	-0.000000	1.669307	-0.000000	0.000000																																											-9.033055	
 1 	 9													-0.000000	0.000000																							0.000000	0.000000			0.000977	3.159499	4.235031	0.056848		6.382703	0.000000	0.000000						-0.000000	-1.451876	0.000001	0.000000	0.000000	0.000000	0.000000						-2.287084		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.216234					-0.000000	-0.373658						-0.000000	-0.774499		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000003	-0.000000	-0.000000			-0.000000	0.000002	-0.000000	0.000000	-0.195559	0.774499	-0.000000	0.000000																																											-9.108570	
 1 	 10													-0.000000	0.000000																							0.000000	0.000000			2.405753	3.445346	4.337052	0.056810		5.162063	0.000000	0.000000						-0.000000	-1.451876	0.000001	0.000000	0.000000	0.000000	0.000000						-2.245383		0.000000	0.000000	0.000000	0.000000					-0.000000	-0.242183					-0.000000	-0.418498						-0.000000	-0.867441		-0.171506							-0.000000		-0.000000	-0.000000		0.000000	-0.000000	-0.000000		-0.000000	-0.030573		-0.000000	0.000000							-0.000003	-0.000000	-0.000000			-0.000000	0.000002	-0.000000	0.000001	-1.499773	0.867441	-0.000000	0.000000																																											-9.347234	
