source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.38,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.38,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,8.09,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.57,Methanol,#CC0066,TWh
HVC,Non-energy demand,42.10,HVC,#00FFFF,TWh
Imp. Diesel,Diesel,4.32,Diesel,#D3D3D3,TWh
Diesel,Freight,4.32,Diesel,#D3D3D3,TWh
Imp. Gas,Gas,77.71,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,CHP,78.35,GAS,#FFD700,TWh
Gas,Boilers,15.81,GAS,#FFD700,TWh
Electricity,Elec,30.87,Electricity,#00BFFF,TWh
Wind,Elec,40.77,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,10.83,Electricity,#00BFFF,TWh
Elec,Mob public,3.73,Electricity,#00BFFF,TWh
Elec,Freight,1.43,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.95,Electricity,#00BFFF,TWh
Elec,Curt.,0.57,Electricity,#00BFFF,TWh
Elec,Elec demand,84.80,Electricity,#00BFFF,TWh
Solar,Curt.,0.54,Solar,#FFFF00,TWh
Wind,Curt.,2.20,Wind,#27AE34,TWh
Elec,Storage,19.73,Electricity,#00BFFF,TWh
Storage,Elec demand,17.58,Electricity,#00BFFF,TWh
Elec,HPs,34.75,Electricity,#00BFFF,TWh
Elec,HT sto,4.57,Electricity,#00BFFF,TWh
HT sto,Heat HT,4.54,Heat HT,#DC143C,TWh
Elec,Heat HT,-2.03,Electricity,#00BFFF,TWh
Imp. H2 RE,H2,34.77,H2,#FF00FF,TWh
H2 prod,H2 sto.,1.08,H2,#FF00FF,TWh
H2 sto.,H2,0.93,H2,#FF00FF,TWh
H2 prod,H2,-1.08,H2,#FF00FF,TWh
H2,Mob public,3.15,H2,#FF00FF,TWh
H2,Freight,12.42,H2,#FF00FF,TWh
CHP,Elec,34.47,Electricity,#00BFFF,TWh
CHP,Heat HT,36.04,Heat HT,#DC143C,TWh
HPs,Dec. sto,10.35,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,63.56,Heat LT,#FA8072,TWh
HPs,DHN,45.85,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,9.95,Heat LT,#FA8072,TWh
Boilers,Heat HT,29.26,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,34.45,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.29,Heat LT,#FA8072,TWh
DHN,DHN Sto,9.10,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,8.71,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,58.00,Heat HT,#DC143C,TWh
