TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	995.995513	25.225466	25.000000	0.000000	1.326455	Infinity	0.000000	0.066480	1.000000	0.822373	0.961540	0.048263	243.789225
CCGT_AMMONIA	4220.936718	106.903189	25.000000	0.000000	5.621395	Infinity	0.000000	0.215830	1.000000	0.630000	0.630000	0.048263	1033.156151
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.866034	431.792280	25.000000	0.000000	59.175000	59.200000	0.000000	0.422441	1.000000	0.117139	1.000000	0.048263	123168.619546
WIND_ONSHORE	9788.199998	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.145645	1.000000	0.238983	1.000000	0.041639	6228.499999
WIND_OFFSHORE	27919.199999	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.146237	1.000000	0.399926	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165799	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.003368	1.000000	0.480553	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	0.001947	0.000125	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.012746	0.850000	0.048263	0.001523
IND_COGEN_WOOD	0.000288	0.000011	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.002831	0.850000	0.048263	0.000047
IND_COGEN_WASTE	0.000293	0.000011	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000764	0.850000	0.048263	0.000071
IND_BOILER_GAS	0.000229	0.000005	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000690	0.950000	0.067080	0.000048
IND_BOILER_WOOD	263.929157	5.278560	17.000000	0.000000	2.291450	Infinity	0.000000	0.314279	1.000000	0.900000	0.900000	0.067080	66.154148
IND_BOILER_OIL	132.517759	2.850098	17.000000	0.000000	2.415563	Infinity	0.000000	0.316528	1.000000	0.859867	0.950000	0.067080	29.759730
IND_BOILER_COAL	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_WASTE	213.239998	4.264781	17.000000	0.000000	1.851363	Infinity	0.000000	0.253920	1.000000	0.900000	0.900000	0.067080	53.448852
IND_DIRECT_ELEC	3442.058011	15.614581	15.000000	0.000000	10.357038	Infinity	0.000000	0.115274	1.000000	0.073035	0.950000	0.074944	15.224846
DHN_HP_ELEC	2341.555090	79.399777	25.000000	0.000000	7.368478	Infinity	0.000000	1.000000	1.000000	0.686994	0.950000	0.048263	1287.936353
DHN_COGEN_GAS	0.000203	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001016	0.850000	0.048263	0.000085
DHN_COGEN_WOOD	0.000052	0.000002	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000229	0.850000	0.048263	0.000009
DHN_COGEN_WASTE	0.000140	0.000005	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000244	0.850000	0.048263	0.000034
DHN_COGEN_WET_BIOMASS	0.000106	0.000009	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000181	0.750000	0.048263	0.000085
DHN_COGEN_BIO_HYDROLYSIS	0.000390	0.000019	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000732	0.850000	0.074944	0.000060
DHN_BOILER_GAS	0.000023	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000251	0.950000	0.067080	0.000005
DHN_BOILER_WOOD	0.000019	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000476	0.900000	0.067080	0.000005
DHN_BOILER_OIL	0.000014	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000414	0.950000	0.067080	0.000003
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000005	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000054	1.000000	0.041639	0.000003
DEC_HP_ELEC	8432.224102	351.580964	18.000000	0.000000	18.592429	Infinity	0.000000	1.000000	1.000000	0.450774	1.000000	0.063806	3065.705537
DEC_THHP_GAS	0.000476	0.000014	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005069	1.000000	0.058246	0.000625
DEC_COGEN_GAS	0.000237	0.000015	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000709	1.000000	0.058246	0.000186
DEC_COGEN_OIL	0.001979	0.000121	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.007706	1.000000	0.058246	0.001669
DEC_ADVCOGEN_GAS	0.000490	0.000009	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000393	1.000000	0.058246	0.000190
DEC_ADVCOGEN_H2	0.000349	0.000007	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000330	1.000000	0.058246	0.000136
DEC_BOILER_GAS	0.000218	0.000007	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000379	1.000000	0.067080	0.000029
DEC_BOILER_WOOD	0.000147	0.000005	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000608	1.000000	0.067080	0.000007
DEC_BOILER_OIL	0.000182	0.000011	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000849	1.000000	0.067080	0.000027
DEC_SOLAR	0.000246	0.000003	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000268	1.000000	0.058246	0.000079
DEC_DIRECT_ELEC	0.000405	0.000002	15.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.001002	1.000000	0.074944	0.000016
TRAMWAY_TROLLEY	4977.081439	99.541629	30.000000	0.000000	7.963330	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000288	0.000014	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001401	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000220	0.000009	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000809	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	1635.978909	79.604301	15.000000	0.000000	2.605228	Infinity	0.000000	0.085058	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000168	0.000007	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.001430	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	2491.218692	110.017501	15.000000	0.000000	3.520560	Infinity	0.000000	0.114942	1.000000	0.296800	0.296800	0.074944	0.000000
TRAIN_PUB	24885.909568	898.139717	40.000000	0.000000	16.524289	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000024	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000055	0.051370	0.108434	0.000000
CAR_DIESEL	0.000019	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000048	0.051370	0.108434	0.000000
CAR_NG	0.000021	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000050	0.051370	0.108434	0.000000
CAR_METHANOL	0.000015	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000038	0.051370	0.108434	0.000000
CAR_HEV	0.000017	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000045	0.051370	0.108434	0.000000
CAR_PHEV	0.009964	0.000734	10.000000	0.000000	0.000022	Infinity	0.000000	0.000000	1.000000	0.007454	0.051370	0.108434	0.000000
CAR_BEV	73381.911059	1769.646009	10.000000	0.000000	176.964601	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000030	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000080	0.051370	0.108434	0.000000
