Name	Crit_2_tech	Crit_2_res	Crit_2_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	123.139866	0.000000	38.614442
CCGT_AMMONIA	657.537755	0.000000	155.872470
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	12898.212738	0.000000	0.000000
WIND_ONSHORE	3432.730996	0.000000	106.481000
WIND_OFFSHORE	1127.774154	0.000000	154.567382
HYDRO_RIVER	42.746546	0.000000	-7.786568
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000171	0.000000	0.000281
IND_COGEN_WOOD	0.000032	0.000000	0.000011
IND_COGEN_WASTE	0.000032	0.000000	0.000032
IND_BOILER_GAS	0.000014	0.000000	0.000000
IND_BOILER_WOOD	186.141451	0.000000	15.051203
IND_BOILER_OIL	8.783827	0.000000	0.000000
IND_BOILER_COAL	0.000001	0.000000	0.000000
IND_BOILER_WASTE	158.513043	0.000000	171.066960
IND_DIRECT_ELEC	8.316691	0.000000	0.000000
DHN_HP_ELEC	185.242962	0.000000	12.324403
DHN_COGEN_GAS	0.000020	0.000000	0.000022
DHN_COGEN_WOOD	0.000003	0.000000	0.000001
DHN_COGEN_WASTE	0.000015	0.000000	0.000010
DHN_COGEN_WET_BIOMASS	0.000390	0.000000	0.000162
DHN_COGEN_BIO_HYDROLYSIS	0.000093	0.000000	0.001925
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000013	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000012	0.000000	0.000000
DEC_HP_ELEC	649.183571	0.000000	27.178735
DEC_THHP_GAS	0.000285	0.000000	0.000000
DEC_COGEN_GAS	0.000040	0.000000	0.000016
DEC_COGEN_OIL	0.000356	0.000000	0.000037
DEC_ADVCOGEN_GAS	0.000096	0.000000	0.000090
DEC_ADVCOGEN_H2	0.000068	0.000000	0.000076
DEC_BOILER_GAS	0.000028	0.000000	0.000000
DEC_BOILER_WOOD	0.000223	0.000000	0.000000
DEC_BOILER_OIL	0.000026	0.000000	0.000000
DEC_SOLAR	0.000436	0.000000	0.000000
DEC_DIRECT_ELEC	0.000009	0.000000	0.000000
TRAMWAY_TROLLEY	90.902559	0.000000	0.000000
BUS_COACH_DIESEL	0.000127	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000072	0.000000	0.000000
BUS_COACH_CNG_STOICH	742.743494	0.000000	0.626906
BUS_COACH_FC_HYBRIDH2	0.000068	0.000000	0.000000
BUS_COACH_ELECTRIC	1114.810801	0.000000	0.847166
TRAIN_PUB	448.327704	0.000000	0.000000
CAR_GASOLINE	0.000008	0.000000	0.000003
CAR_DIESEL	0.000006	0.000000	0.000003
