Name	Used	Potential
AMMONIA	0.000389	Infinity
AMMONIA_RE_BE	58028.911342	Infinity
AMMONIA_RE_IMPORT	13102.816434	Infinity
BIODIESEL	0.000849	Infinity
BIODIESEL_BE	0.000943	Infinity
BIOETHANOL	0.000335	Infinity
CO2_ATM	0.000056	Infinity
CO2_CAPTURED	0.000000	0.000000
CO2_EMISSIONS	42841.778298	Infinity
CO2_INDUSTRY	0.000000	0.000000
COAL	0.000000	0.000000
DIESEL	2735.317077	Infinity
ELEC_EXPORT	998.267336	Infinity
ELECTRICITY	27567.311372	27567.311340
GAS	0.000000	0.000000
GAS_RE_BE	0.001226	Infinity
GAS_RE_IMPORT	0.000004	Infinity
GASOLINE	0.000691	Infinity
H2	16475.718034	Infinity
H2_RE_BE	733.360933	Infinity
H2_RE_IMPORT	0.000010	Infinity
LFO	97025.644798	Infinity
LFO_RE_BE	0.000258	Infinity
METHANOL	0.000821	Infinity
METHANOL_RE_BE	0.003331	Infinity
METHANOL_RE_IMPORT	0.002677	Infinity
RES_GEO	0.000000	Infinity
RES_HYDRO	484.109048	Infinity
RES_SOLAR	60721.529234	Infinity
RES_WIND	41955.071700	Infinity
URANIUM	0.000000	Infinity
WASTE	17800.000251	17800.000000
WET_BIOMASS	38899.998868	38900.000000
WOOD	23400.000073	23400.000000
WOOD_PRODUCTION	0.000000	0.000000
