Name	Crit_3_tech	Crit_3_res	Crit_3_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	7.046026	0.000000	0.248920
CCGT_AMMONIA	51.551340	0.000000	108.803115
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1202.589450	0.000000	0.000000
WIND_ONSHORE	76.198038	0.000000	2.457976
WIND_OFFSHORE	87.672505	0.000000	4.581520
HYDRO_RIVER	1.128848	0.000000	0.009672
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	10.381771	0.000000	8.788672
IND_COGEN_WOOD	8.341655	0.000000	1.470770
IND_COGEN_WASTE	8.163990	0.000000	3.893268
IND_BOILER_GAS	7.658215	0.000000	0.000000
IND_BOILER_WOOD	21.721104	0.000000	1.500690
IND_BOILER_OIL	3.781254	0.000000	0.000000
IND_BOILER_COAL	0.043184	0.000000	0.000000
IND_BOILER_WASTE	25.888131	0.000000	4.695691
IND_DIRECT_ELEC	0.446197	0.000000	0.000000
DHN_HP_ELEC	6.063204	0.000000	0.076133
DHN_COGEN_GAS	33.914374	0.000000	70.006425
DHN_COGEN_WOOD	5.808147	0.000000	0.501420
DHN_COGEN_WASTE	13.597988	0.000000	1.398171
DHN_COGEN_WET_BIOMASS	11.451036	0.000000	3.588617
DHN_COGEN_BIO_HYDROLYSIS	3.510820	0.000000	1.942039
DHN_BOILER_GAS	1.515767	0.000000	0.000000
DHN_BOILER_WOOD	20.757205	0.000000	2.875765
DHN_BOILER_OIL	1.326217	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	22.687255	0.000000	0.000000
DEC_HP_ELEC	25.695277	0.000000	3.606600
DEC_THHP_GAS	53.635388	0.000000	0.000000
DEC_COGEN_GAS	18.481816	0.000000	2.854092
DEC_COGEN_OIL	15.231142	0.000000	1.949756
DEC_ADVCOGEN_GAS	30.161202	0.000000	3.554006
DEC_ADVCOGEN_H2	42.650590	0.000000	18.911915
DEC_BOILER_GAS	24.751530	0.000000	0.000000
DEC_BOILER_WOOD	7.800187	0.000000	3.125758
DEC_BOILER_OIL	21.522007	0.000000	0.000000
DEC_SOLAR	303.837050	0.000000	0.000000
DEC_DIRECT_ELEC	5.548729	0.000000	0.000000
TRAMWAY_TROLLEY	3.472576	0.000000	0.000000
BUS_COACH_DIESEL	1.560718	0.000000	0.000059
BUS_COACH_HYDIESEL	1.629148	0.000000	0.002296
BUS_COACH_CNG_STOICH	1.708239	0.000000	0.000227
BUS_COACH_FC_HYBRIDH2	34.854070	0.000000	0.101383
BUS_COACH_ELECTRIC	48.027426	0.000000	0.138571
TRAIN_PUB	17.844423	0.000000	0.000000
CAR_GASOLINE	1.326070	0.000000	0.003452
CAR_DIESEL	1.586409	0.000000	0.050340
CAR_NG	1.239222	0.000000	0.011433
CAR_METHANOL	1.329317	0.000000	0.046462
CAR_HEV	1.342648	0.000000	0.004734
CAR_PHEV	1552.117520	0.000000	27.725942
CAR_BEV	4463.072622	0.000000	261.511578
CAR_FUEL_CELL	2.835026	0.000000	0.095088
TRAIN_FREIGHT	11.631696	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.212431	0.000000	0.001733
BOAT_FREIGHT_NG	0.041772	0.000000	0.000408
BOAT_FREIGHT_METHANOL	9.934298	0.000000	0.173974
TRUCK_DIESEL	12.488317	0.000000	0.003288
TRUCK_METHANOL	2.620321	0.000000	0.001577
TRUCK_FUEL_CELL	230.233823	0.000000	0.061651
TRUCK_ELEC	270.833123	0.000000	0.049860
TRUCK_NG	0.255358	0.000000	0.068949
HABER_BOSCH	28.261472	0.000000	582.287367
SYN_METHANOLATION	28.123621	0.000000	38.789599
METHANE_TO_METHANOL	12.205248	0.000000	1122.084955
BIOMASS_TO_METHANOL	18.929013	0.000000	3.726349
OIL_TO_HVC	16.410398	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	142.053230	0.000000	0.000000
ADLIBIO_TO_FUEL	20.626139	0.000000	1.557050
PHS	228.514821	0.000000	0.000000
BATT_LI	1015.259147	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	7331.743397	0.000000	0.000000
TS_DEC_DIRECT_ELEC	122.330508	0.000000	0.000000
TS_DEC_HP_ELEC	92.352557	0.000000	0.000000
TS_DEC_THHP_GAS	123.337233	0.000000	0.000000
TS_DEC_COGEN_GAS	122.619409	0.000000	0.000000
TS_DEC_COGEN_OIL	125.991443	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	124.590239	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	122.993508	0.000000	0.000000
TS_DEC_BOILER_GAS	121.145093	0.000000	0.000000
TS_DEC_BOILER_WOOD	92.658019	0.000000	0.000000
TS_DEC_BOILER_OIL	120.084940	0.000000	0.000000
TS_DHN_DAILY	303.135341	0.000000	0.000000
TS_DHN_SEASONAL	734.950834	0.000000	0.000000
TS_HIGH_TEMP	106.388607	0.000000	0.000000
GAS_STORAGE	1239.132154	0.000000	0.000000
H2_STORAGE	1636.628687	0.000000	0.000000
DIESEL_STORAGE	2572.994269	0.000000	0.000000
GASOLINE_STORAGE	2658.479902	0.000000	0.000000
LFO_STORAGE	2682.586601	0.000000	0.000000
AMMONIA_STORAGE	1413.351838	0.000000	0.000000
METHANOL_STORAGE	752.284114	0.000000	0.000000
CO2_STORAGE	1346.264177	0.000000	0.000000
ADLIBIO_TO_HVC	18.952423	0.000000	2.607848
AMMONIA_TO_H2	19.923912	0.000000	0.000000
ATM_CCS	89.988578	0.000000	273.082325
BIO_HYDROLYSIS	2.072705	0.000000	22.367788
BIOMETHANATION	38.010151	0.000000	78.163003
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	1.276653	0.000000	1.639396
GRID	25.833563	0.000000	0.000000
H2_BIOMASS	6.419500	0.000000	20.874530
H2_ELECTROLYSIS	19.384390	0.000000	1.624270
INDUSTRY_CCS	0.000000	0.000000	0.388881
REDIFUEL	9.169981	0.000000	4.464105
SMR	0.000000	0.000000	17.277778
SYN_METHANATION	34.167008	0.000000	34.768629
AMMONIA	0.000000	63.954216	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	188.255024	0.000000
BIODIESEL	0.000000	53.612427	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	374.735480	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	2.073190	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	47.019612	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.407651	0.000000
GASOLINE	0.000000	4.849451	0.000000
H2	0.000000	0.022456	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.368250	0.000000
LFO	0.000000	7.752479	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	6.581467	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	149.942225	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
