source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia,Ammonia,0.14,Ammonia,#000ECD,TWh
Imp. Ammonia RE,Ammonia,0.20,Ammonia,#000ECD,TWh
Prod. Ammonia RE,Ammonia,200.60,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.56,Ammonia,#000ECD,TWh
H2,Haber-Bosch,1.49,H2,#FF00FF,TWh
Elec,Haber-Bosch,0.16,Electricity,#00BFFF,TWh
Haber-Bosch,DHN,0.18,DHN,#FA8072,TWh
Haber-Bosch,Ammonia,1.32,Ammonia,#000ECD,TWh
Ammonia,Elec,185.07,Ammonia,#000ECD,TWh
Ammonia,H2,6.62,H2,#FF00FF,TWh
Imp. Methanol,Methanol,0.22,Methanol,#CC0066,TWh
Imp. Methanol RE,Methanol,0.26,Methanol,#CC0066,TWh
Prod. Methanol RE,Methanol,0.26,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,85.82,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,56.12,Methanol,#CC0066,TWh
Wood,Gasifi. to Methanol,0.10,Wood,#CD853F,TWh
Gasifi. to Methanol,Elec,0.00,Electricity,#00BFFF,TWh
Gasifi. to Methanol,DHN,0.02,DHN,#FA8072,TWh
Gasifi. to Methanol,Methanol,0.06,Methanol,#CC0066,TWh
H2,Methanolation,0.00,H2,#FF00FF,TWh
Elec,Methanolation,0.03,Electricity,#00BFFF,TWh
Methanolation,DHN,0.07,DHN,#FA8072,TWh
Methanolation,Methanol,0.89,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.60,Methanol,#CC0066,TWh
Methanol,Mob priv,0.01,Methanol,#CC0066,TWh
Methanol,Freight,3.11,Methanol,#CC0066,TWh
Methanol,Freight,0.35,Methanol,#CC0066,TWh
Oil,NSC,0.15,Naphtha,#8B008B,TWh
Elec,NSC,0.00,Electricity,#00BFFF,TWh
Heat HT,NSC,0.00,Heat HT,#DC143C,TWh
NSC,HVC,0.08,HVC,#00FFFF,TWh
Methanol,MTO,52.91,Methanol,#CC0066,TWh
Heat HT,MTO,14.07,Heat HT,#DC143C,TWh
MTO,HVC,42.63,HVC,#00FFFF,TWh
HVC,Non-energy demand,42.85,HVC,#00FFFF,TWh
Imp. Gasoline,Gasoline,0.50,Gasoline,#808080,TWh
Gasoline,Mob priv,-0.93,Gasoline,#808080,TWh
Imp. Bio-ethanol,Gasoline,0.24,Gasoline,#808080,TWh
Imp. Diesel,Diesel,0.24,Diesel,#D3D3D3,TWh
Imp. Bio-diesel,Diesel,0.04,Diesel,#D3D3D3,TWh
Diesel,Mob priv,0.01,Diesel,#D3D3D3,TWh
Diesel,Mob public,0.03,Diesel,#D3D3D3,TWh
Diesel,Freight,0.34,Diesel,#D3D3D3,TWh
Gas Prod,Gas sto.,10.34,GAS,#FFD700,TWh
Gas sto.,Gas,10.14,GAS,#FFD700,TWh
Gas Prod,Gas,360.10,GAS,#FFD700,TWh
Gas,Mob public,0.00,GAS,#FFD700,TWh
Gas,Freight,0.01,GAS,#FFD700,TWh
Gas,H2 prod,1.94,GAS,#FFD700,TWh
Gas,Elec,0.42,GAS,#FFD700,TWh
Gas,CHP,259.11,GAS,#FFD700,TWh
Gas,HPs,6.53,GAS,#FFD700,TWh
Gas,Boilers,16.82,GAS,#FFD700,TWh
Electricity,Elec,0.63,Electricity,#00BFFF,TWh
