Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.209581	0.000000	0.057087
CCGT_AMMONIA	1.474059	0.000000	4.011101
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	8.885930	0.000000	0.000000
WIND_ONSHORE	0.834270	0.000000	0.009717
WIND_OFFSHORE	0.609090	0.000000	0.010700
HYDRO_RIVER	0.015623	0.000000	0.000030
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.223523	0.000000	3.076279
IND_COGEN_WOOD	0.072765	0.000000	0.095963
IND_COGEN_WASTE	0.073250	0.000000	0.020355
IND_BOILER_GAS	0.083158	0.000000	0.431375
IND_BOILER_WOOD	0.321790	0.000000	0.101638
IND_BOILER_OIL	0.065052	0.000000	0.246305
IND_BOILER_COAL	0.001142	0.000000	0.000000
IND_BOILER_WASTE	0.282858	0.000000	0.024071
IND_DIRECT_ELEC	0.008071	0.000000	0.000000
DHN_HP_ELEC	0.219248	0.000000	0.001258
DHN_COGEN_GAS	1.890983	0.000000	47.531519
DHN_COGEN_WOOD	0.037180	0.000000	0.044785
DHN_COGEN_WASTE	0.084817	0.000000	0.016092
DHN_COGEN_WET_BIOMASS	0.269831	0.000000	0.082191
DHN_COGEN_BIO_HYDROLYSIS	0.071408	0.000000	0.038566
DHN_BOILER_GAS	0.017234	0.000000	0.090879
DHN_BOILER_WOOD	0.130185	0.000000	0.072287
DHN_BOILER_OIL	0.016357	0.000000	0.098040
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.691627	0.000000	0.000000
DEC_HP_ELEC	1.142064	0.000000	0.031184
DEC_THHP_GAS	1.252877	0.000000	0.232375
DEC_COGEN_GAS	0.391156	0.000000	0.929354
DEC_COGEN_OIL	0.361869	0.000000	2.676969
DEC_ADVCOGEN_GAS	0.418648	0.000000	0.105231
DEC_ADVCOGEN_H2	0.588019	0.000000	0.466561
DEC_BOILER_GAS	0.544360	0.000000	0.189572
DEC_BOILER_WOOD	0.204110	0.000000	0.087377
DEC_BOILER_OIL	0.380723	0.000000	0.163801
DEC_SOLAR	9.756855	0.000000	0.000000
DEC_DIRECT_ELEC	0.062707	0.000000	0.000000
TRAMWAY_TROLLEY	0.082661	0.000000	0.000000
BUS_COACH_DIESEL	0.029274	0.000000	0.000270
BUS_COACH_HYDIESEL	0.018426	0.000000	0.003117
BUS_COACH_CNG_STOICH	0.014084	0.000000	0.001259
BUS_COACH_FC_HYBRIDH2	0.608249	0.000000	0.001820
BUS_COACH_ELECTRIC	1.176303	0.000000	0.003541
TRAIN_PUB	0.331592	0.000000	0.000000
CAR_GASOLINE	0.014587	0.000000	0.000306
CAR_DIESEL	0.020003	0.000000	0.003345
CAR_NG	0.015181	0.000000	0.002353
CAR_METHANOL	0.017458	0.000000	0.004003
CAR_HEV	0.014576	0.000000	0.000489
CAR_PHEV	12.861705	0.000000	0.481478
CAR_BEV	36.125492	0.000000	1.596761
CAR_FUEL_CELL	0.162633	0.000000	0.000838
TRAIN_FREIGHT	0.206424	0.000000	0.653920
BOAT_FREIGHT_DIESEL	0.000704	0.000000	0.014362
BOAT_FREIGHT_NG	0.013963	0.000000	0.044535
BOAT_FREIGHT_METHANOL	0.153908	0.000000	9.345424
TRUCK_DIESEL	0.295809	0.000000	0.417164
TRUCK_METHANOL	0.010416	0.000000	0.001664
TRUCK_FUEL_CELL	1.392147	0.000000	0.018968
TRUCK_ELEC	5.818643	0.000000	0.208141
TRUCK_NG	0.006253	0.000000	0.014006
HABER_BOSCH	1.083711	0.000000	0.238274
SYN_METHANOLATION	1.095534	0.000000	0.048510
METHANE_TO_METHANOL	0.175462	0.000000	1.613521
BIOMASS_TO_METHANOL	0.753260	0.000000	0.034932
OIL_TO_HVC	0.972545	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	4.188829	0.000000	0.000000
ADLIBIO_TO_FUEL	0.883422	0.000000	0.029065
PHS	3.192462	0.000000	0.000000
BATT_LI	3.101468	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	21.306017	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.647739	0.000000	0.000000
TS_DEC_HP_ELEC	0.550847	0.000000	0.000000
TS_DEC_THHP_GAS	0.657518	0.000000	0.000000
TS_DEC_COGEN_GAS	0.658371	0.000000	0.000000
TS_DEC_COGEN_OIL	0.667853	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.661586	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.657757	0.000000	0.000000
TS_DEC_BOILER_GAS	0.649938	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.549505	0.000000	0.000000
TS_DEC_BOILER_OIL	0.640564	0.000000	0.000000
TS_DHN_DAILY	2.850822	0.000000	0.000000
TS_DHN_SEASONAL	13.780227	0.000000	0.000000
TS_HIGH_TEMP	0.538143	0.000000	0.000000
GAS_STORAGE	28.469724	0.000000	0.000000
H2_STORAGE	24.488737	0.000000	0.000000
DIESEL_STORAGE	53.846898	0.000000	0.000000
GASOLINE_STORAGE	57.602299	0.000000	0.000000
LFO_STORAGE	63.770577	0.000000	0.000000
AMMONIA_STORAGE	27.752772	0.000000	0.000000
METHANOL_STORAGE	60.052695	0.000000	0.000000
CO2_STORAGE	13.229321	0.000000	0.000000
ADLIBIO_TO_HVC	0.692153	0.000000	0.037231
AMMONIA_TO_H2	0.572283	0.000000	0.000000
ATM_CCS	1.223410	0.000000	3.139451
BIO_HYDROLYSIS	0.046169	0.000000	0.161694
BIOMETHANATION	0.923986	0.000000	0.778975
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	0.020925	0.000000	0.026478
GRID	1.772127	0.000000	0.000000
H2_BIOMASS	0.116175	0.000000	0.026319
H2_ELECTROLYSIS	0.238520	0.000000	0.002372
INDUSTRY_CCS	0.000000	0.000000	0.064885
REDIFUEL	0.230199	0.000000	0.016501
SMR	0.000000	0.000000	0.035328
SYN_METHANATION	1.106290	0.000000	1.108660
AMMONIA	0.000000	0.111369	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	1.066808	0.000000
BIODIESEL	0.000000	0.342296	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	1.147913	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.196991	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.317332	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	0.002159	0.000000
GASOLINE	0.000000	0.490222	0.000000
H2	0.000000	0.000242	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000573	0.000000
LFO	0.000000	0.568127	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	0.095038	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	0.344984	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	7.935439	0.000000
WOOD	0.000000	3.429468	0.000000
WOOD_PRODUCTION	0.000000	0.000000	0.000000
