Name	LCA_tech	LCA_res	LCA_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	10.625233	0.000000	174.430662
CCGT_AMMONIA	74.731232	0.000000	234.471203
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	937.015468	0.000000	0.000000
WIND_ONSHORE	95.765764	0.000000	0.534443
WIND_OFFSHORE	69.296677	0.000000	0.588526
HYDRO_RIVER	2.167005	0.000000	0.001640
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	21.947620	0.000000	3509.608196
IND_COGEN_WOOD	8.282329	0.000000	78.157172
IND_COGEN_WASTE	15.242675	0.000000	96.754331
IND_BOILER_GAS	15.671411	0.000000	1365.157245
IND_BOILER_WOOD	29.152091	0.000000	107.879652
IND_BOILER_OIL	12.259343	0.000000	184.964953
IND_BOILER_COAL	0.090338	0.000000	0.000000
IND_BOILER_WASTE	25.625126	0.000000	114.420402
IND_DIRECT_ELEC	1.024823	0.000000	0.000000
DHN_HP_ELEC	19.659247	0.000000	40.327057
DHN_COGEN_GAS	95.868311	0.000000	54226.871695
DHN_COGEN_WOOD	4.662392	0.000000	37.761347
DHN_COGEN_WASTE	17.649541	0.000000	76.492877
DHN_COGEN_WET_BIOMASS	34.059121	0.000000	380.911399
DHN_COGEN_BIO_HYDROLYSIS	5.356206	0.000000	65.290798
DHN_BOILER_GAS	3.247830	0.000000	287.601261
DHN_BOILER_WOOD	11.899565	0.000000	76.726172
DHN_BOILER_OIL	3.082599	0.000000	73.624347
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	26.629042	0.000000	0.000000
DEC_HP_ELEC	102.405124	0.000000	1000.016219
DEC_THHP_GAS	77.820738	0.000000	1636.766666
DEC_COGEN_GAS	41.569985	0.000000	1060.264122
DEC_COGEN_OIL	38.457496	0.000000	279.603389
DEC_ADVCOGEN_GAS	27.407637	0.000000	476.890831
DEC_ADVCOGEN_H2	38.495873	0.000000	11.192183
DEC_BOILER_GAS	29.354737	0.000000	599.933264
DEC_BOILER_WOOD	34.722401	0.000000	92.742110
DEC_BOILER_OIL	20.530599	0.000000	123.007842
DEC_SOLAR	375.658470	0.000000	0.000000
DEC_DIRECT_ELEC	7.962655	0.000000	0.000000
TRAMWAY_TROLLEY	4.982825	0.000000	0.000000
BUS_COACH_DIESEL	2.786523	0.000000	0.580448
BUS_COACH_HYDIESEL	1.722796	0.000000	6.769959
BUS_COACH_CNG_STOICH	1.362718	0.000000	1.111978
BUS_COACH_FC_HYBRIDH2	28.915652	0.000000	17.783841
BUS_COACH_ELECTRIC	55.920445	0.000000	34.423328
TRAIN_PUB	17.081851	0.000000	4.480202
CAR_GASOLINE	1.787891	0.000000	0.519897
CAR_DIESEL	2.437623	0.000000	6.758168
CAR_NG	1.866485	0.000000	2.846619
CAR_METHANOL	2.139778	0.000000	6.681491
CAR_HEV	1.709533	0.000000	0.749784
CAR_PHEV	1267.199809	0.000000	495.291172
CAR_BEV	2970.562310	0.000000	457.812672
CAR_FUEL_CELL	3.584699	0.000000	0.255028
TRAIN_FREIGHT	27.731985	0.000000	52.789705
BOAT_FREIGHT_DIESEL	0.079005	0.000000	1.233068
BOAT_FREIGHT_NG	1.566953	0.000000	57.137069
BOAT_FREIGHT_METHANOL	17.271338	0.000000	802.082396
TRUCK_DIESEL	22.591289	0.000000	208.908095
TRUCK_METHANOL	0.789487	0.000000	0.835542
TRUCK_FUEL_CELL	56.186621	0.000000	1.453537
TRUCK_ELEC	470.632170	0.000000	12.237140
TRUCK_NG	0.477759	0.000000	5.865548
HABER_BOSCH	45.687019	0.000000	1.079685
SYN_METHANOLATION	46.185478	0.000000	4.864787
METHANE_TO_METHANOL	22.671744	0.000000	225.566004
BIOMASS_TO_METHANOL	31.755900	0.000000	58.988830
OIL_TO_HVC	41.000513	0.000000	64.479475
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	176.592402	0.000000	0.000000
ADLIBIO_TO_FUEL	37.243270	0.000000	7.952653
PHS	524.996646	0.000000	0.000000
BATT_LI	161.052081	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	1106.372509	0.000000	0.000000
TS_DEC_DIRECT_ELEC	84.030074	0.000000	0.000000
TS_DEC_HP_ELEC	71.460515	0.000000	0.000000
TS_DEC_THHP_GAS	85.298740	0.000000	0.000000
TS_DEC_COGEN_GAS	85.409375	0.000000	0.000000
TS_DEC_COGEN_OIL	86.639546	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	85.826417	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	85.329738	0.000000	0.000000
TS_DEC_BOILER_GAS	84.315373	0.000000	0.000000
TS_DEC_BOILER_WOOD	71.286424	0.000000	0.000000
TS_DEC_BOILER_OIL	83.099265	0.000000	0.000000
TS_DHN_DAILY	369.832494	0.000000	0.000000
TS_DHN_SEASONAL	1787.686438	0.000000	0.000000
TS_HIGH_TEMP	69.812436	0.000000	0.000000
GAS_STORAGE	3678.611978	0.000000	0.000000
H2_STORAGE	3164.223276	0.000000	0.000000
DIESEL_STORAGE	2075.852498	0.000000	0.000000
GASOLINE_STORAGE	2220.627167	0.000000	0.000000
LFO_STORAGE	2458.416280	0.000000	0.000000
AMMONIA_STORAGE	3585.973695	0.000000	0.000000
METHANOL_STORAGE	2531.698110	0.000000	0.000000
CO2_STORAGE	1709.378724	0.000000	0.000000
ADLIBIO_TO_HVC	29.179731	0.000000	63.815987
AMMONIA_TO_H2	24.126287	0.000000	0.000000
ATM_CCS	246.542344	0.000000	-91052.409840
BIO_HYDROLYSIS	3.968915	0.000000	296.928011
BIOMETHANATION	122.319913	0.000000	7256.069209
DHN	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
GASIFICATION_SNG	1.798814	0.000000	48.623165
GRID	18.645217	0.000000	0.000000
H2_BIOMASS	9.987068	0.000000	2.215839
H2_ELECTROLYSIS	20.898622	0.000000	0.159716
INDUSTRY_CCS	0.000000	0.000000	35.062201
REDIFUEL	10.536887	0.000000	48.042517
SMR	0.000000	0.000000	304.853120
SYN_METHANATION	92.870119	0.000000	19.700435
AMMONIA	0.000000	71.864544	0.000000
AMMONIA_RE_BE	0.000000	0.000000	0.000000
AMMONIA_RE_IMPORT	0.000000	34.714345	0.000000
BIODIESEL	0.000000	-10.553994	0.000000
BIODIESEL_BE	0.000000	0.000000	0.000000
BIOETHANOL	0.000000	-25.765057	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	14.958512	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	57.326598	0.000000
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000000
GAS_RE_IMPORT	0.000000	-0.295549	0.000000
GASOLINE	0.000000	39.438617	0.000000
H2	0.000000	0.327405	0.000000
H2_RE_BE	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.071986	0.000000
LFO	0.000000	42.597459	0.000000
LFO_RE_BE	0.000000	0.000000	0.000000
METHANOL	0.000000	23.982256	0.000000
METHANOL_RE_BE	0.000000	0.000000	0.000000
METHANOL_RE_IMPORT	0.000000	-22.034360	0.000000
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	0.000000
WET_BIOMASS	0.000000	-13118.131961	0.000000
WOOD	0.000000	-6632.115573	0.000000
WOOD_PRODUCTION	0.000000	0.000000	0.000000
