Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000003	0.000002	0.000000
CCGT_AMMONIA	358.295598	188.020366	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834726	431.792280	0.000000
WIND_ONSHORE	407.572702	113.845000	0.000000
WIND_OFFSHORE	1162.532824	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.000004	0.000005	0.000000
IND_COGEN_WOOD	0.000003	0.000002	0.000000
IND_COGEN_WASTE	0.000003	0.000002	0.000000
IND_BOILER_GAS	18.610135	5.558513	0.000000
IND_BOILER_WOOD	0.000003	0.000001	0.000000
IND_BOILER_OIL	0.000003	0.000001	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	15.110923	4.505347	0.000000
IND_DIRECT_ELEC	482.612406	29.212701	0.000000
DHN_HP_ELEC	113.054372	79.429872	0.000000
DHN_COGEN_GAS	0.000003	0.000002	0.000000
DHN_COGEN_WOOD	0.000002	0.000002	0.000000
DHN_COGEN_WASTE	0.000002	0.000002	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000003	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000003	0.000002	0.000000
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000001	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	538.024845	351.581091	0.000000
DEC_THHP_GAS	0.000005	0.000003	0.000000
DEC_COGEN_GAS	0.000004	0.000004	0.000000
DEC_COGEN_OIL	0.000004	0.000004	0.000000
DEC_ADVCOGEN_GAS	0.000007	0.000002	0.000000
DEC_ADVCOGEN_H2	0.000009	0.000003	0.000000
DEC_BOILER_GAS	0.000005	0.000002	0.000000
DEC_BOILER_WOOD	0.000005	0.000003	0.000000
DEC_BOILER_OIL	0.000004	0.000004	0.000000
DEC_SOLAR	0.000016	0.000003	0.000000
DEC_DIRECT_ELEC	0.000008	0.000000	0.000000
TRAMWAY_TROLLEY	207.241630	99.541628	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000005	0.000003	0.000000
BUS_COACH_ELECTRIC	324.863659	191.430937	0.000000
TRAIN_PUB	831.863834	898.139721	0.000000
CAR_GASOLINE	0.000001	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000001	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000001	0.000000	0.000000
CAR_PHEV	0.000276	0.000187	0.000000
CAR_BEV	7957.107758	1769.646134	0.000000
CAR_FUEL_CELL	0.000001	0.000000	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	73.488390	106.290050	0.000000
BOAT_FREIGHT_NG	0.000003	0.000004	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000001	0.000001	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	1847.525241	621.044309	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000004	0.000001	0.000000
SYN_METHANOLATION	0.000005	0.000002	0.000000
METHANE_TO_METHANOL	14.451179	13.092649	0.000000
BIOMASS_TO_METHANOL	0.000004	0.000001	0.000000
OIL_TO_HVC	0.000004	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	183.787270	283.982485	0.000000
ADLIBIO_TO_FUEL	0.000005	0.000002	0.000000
PHS	8.400075	0.000000	0.000000
BATT_LI	0.000068	0.000001	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000015	0.000002	0.000000
TS_DEC_HP_ELEC	62.808032	7.548867	0.000000
TS_DEC_THHP_GAS	0.000015	0.000002	0.000000
TS_DEC_COGEN_GAS	0.000015	0.000002	0.000000
TS_DEC_COGEN_OIL	0.000016	0.000002	0.000000
TS_DEC_ADVCOGEN_GAS	0.000016	0.000002	0.000000
TS_DEC_ADVCOGEN_H2	0.000015	0.000002	0.000000
TS_DEC_BOILER_GAS	0.000015	0.000002	0.000000
TS_DEC_BOILER_WOOD	0.000014	0.000002	0.000000
TS_DEC_BOILER_OIL	0.000015	0.000002	0.000000
TS_DHN_DAILY	0.000318	0.000027	0.000000
TS_DHN_SEASONAL	19.515499	2.200616	0.000000
TS_HIGH_TEMP	126.692898	28.095194	0.000000
GAS_STORAGE	0.000003	0.000002	0.000000
H2_STORAGE	0.000102	0.000110	0.000000
DIESEL_STORAGE	0.000140	0.000096	0.000000
GASOLINE_STORAGE	0.000141	0.000097	0.000000
LFO_STORAGE	0.000147	0.000101	0.000000
AMMONIA_STORAGE	0.000000	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.000209	0.000050	0.000000
ADLIBIO_TO_HVC	0.000003	0.000001	0.000000
AMMONIA_TO_H2	0.000002	0.000004	0.000000
ATM_CCS	0.000006	0.000005	0.000000
BIO_HYDROLYSIS	253.628717	230.740352	0.000000
BIOMETHANATION	0.000008	0.000002	0.000000
DHN	154.589758	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000002	0.000003	0.000000
GRID	2210.177557	0.000000	0.000000
H2_BIOMASS	117.899761	172.095952	0.000000
H2_ELECTROLYSIS	0.000006	0.000002	0.000000
INDUSTRY_CCS	0.000003	0.000002	0.000000
REDIFUEL	0.000004	0.000002	0.000000
SMR	0.000002	0.000003	0.000000
SYN_METHANATION	0.000001	0.000007	0.000000
AMMONIA	0.000000	0.000000	0.000002
AMMONIA_RE_BE	0.000000	0.000000	8301.216709
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000012
BIODIESEL	0.000000	0.000000	297.481240
BIODIESEL_BE	0.000000	0.000000	0.000017
BIOETHANOL	0.000000	0.000000	0.000007
CO2_ATM	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
COAL	0.000000	0.000000	0.000000
DIESEL	0.000000	0.000000	0.000020
ELEC_EXPORT	0.000000	0.000000	0.000000
ELECTRICITY	0.000000	0.000000	2892.582829
GAS	0.000000	0.000000	0.000000
GAS_RE_BE	0.000000	0.000000	0.000012
GAS_RE_IMPORT	0.000000	0.000000	2542.802458
GASOLINE	0.000000	0.000000	0.000005
H2	0.000000	0.000000	0.000000
H2_RE_BE	0.000000	0.000000	825.952389
H2_RE_IMPORT	0.000000	0.000000	0.000000
LFO	0.000000	0.000000	0.000027
LFO_RE_BE	0.000000	0.000000	0.000008
METHANOL	0.000000	0.000000	0.000007
METHANOL_RE_BE	0.000000	0.000000	0.000014
METHANOL_RE_IMPORT	0.000000	0.000000	5388.884476
RES_GEO	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	345.450308
WET_BIOMASS	0.000000	0.000000	242.332996
WOOD	0.000000	0.000000	830.851631
WOOD_PRODUCTION	0.000000	0.000000	0.000000
