TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	28710.950250	609.866092	60.000000	5.925000	5.925000	5.925000	0.000000	0.644548	1.000000	0.849000	0.849000	0.025393	4194.189000
CCGT	3319.788878	84.079654	25.000000	3.925000	3.930000	3.930000	0.000000	0.179405	1.000000	0.356273	0.961540	0.048263	722.294695
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.630000	0.048263	0.000000
COAL_US	1240.710700	14.485878	35.000000	0.470000	0.470000	0.470000	0.000000	0.038077	1.000000	0.632272	0.868000	0.036934	155.852000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	6580.640628	75.151220	25.000000	3.845000	3.845000	3.847000	0.000000	0.058484	1.000000	0.118708	1.000000	0.048263	8003.098384
WIND_ONSHORE	1696.455981	19.731065	30.000000	1.249000	1.251000	1.251000	0.000000	0.037288	1.000000	0.232622	1.000000	0.041639	779.185305
WIND_OFFSHORE	5441.482114	37.859109	30.000000	0.711000	0.711000	0.713000	0.000000	0.035731	1.000000	0.392205	1.000000	0.041639	442.846353
HYDRO_RIVER	579.130146	5.790796	40.000000	0.114000	0.114795	0.116000	0.000000	0.006468	1.000000	0.439735	1.000000	0.033427	144.965060
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	1260.682480	81.035208	25.000000	0.823000	0.825000	0.825000	0.000000	0.097129	1.000000	0.850000	0.850000	0.048263	845.063986
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.048263	0.000000
IND_COGEN_WASTE	1753.047242	64.626519	25.000000	0.535000	0.537000	0.537000	0.000000	0.063222	1.000000	0.850000	0.850000	0.048263	347.879340
IND_BOILER_GAS	216.956892	4.346699	17.000000	3.068000	3.070000	3.070000	0.000000	0.403961	1.000000	0.950000	0.950000	0.067080	37.822399
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_BOILER_OIL	113.227599	2.435284	17.000000	1.713000	1.720000	1.720000	0.000000	0.096617	1.000000	0.405551	0.950000	0.067080	21.190400
IND_BOILER_COAL	375.958400	7.518906	17.000000	2.714000	2.720000	2.720000	0.000000	0.339070	1.000000	0.900000	0.900000	0.067080	131.049600
IND_BOILER_WASTE	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.074944	0.000000
DHN_HP_ELEC	18.467235	0.626206	25.000000	0.042000	0.044000	0.044000	0.000000	0.074774	1.000000	0.349380	0.950000	0.048263	7.690758
DHN_COGEN_GAS	471.065172	13.772962	25.000000	0.346000	0.346000	0.348000	0.000000	0.745407	1.000000	0.442910	0.850000	0.048263	169.844484
DHN_COGEN_WOOD	69.204054	2.533735	25.000000	0.057000	0.059000	0.059000	0.000000	0.024991	1.000000	0.087081	0.850000	0.048263	9.754471
DHN_COGEN_WASTE	208.928296	7.702193	25.000000	0.062000	0.064000	0.064000	0.000000	0.109366	1.000000	0.351318	0.850000	0.048263	41.460285
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.750000	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.074944	0.000000
DHN_BOILER_GAS	21.766365	0.436086	17.000000	0.308000	0.308000	0.310000	0.000000	0.025554	1.000000	0.017057	0.950000	0.067080	3.794561
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000000
DHN_BOILER_OIL	5.003080	0.107606	17.000000	0.074000	0.076000	0.076000	0.000000	0.003358	1.000000	0.009084	0.950000	0.067080	0.936320
DHN_DEEP_GEO	8.059687	0.301976	30.000000	0.003000	0.005000	0.005000	0.000000	0.016550	1.000000	0.680516	0.850000	0.041639	4.043793
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
DEC_HP_ELEC	354.014921	14.760438	18.000000	0.589000	0.591000	0.591000	0.000000	0.013414	1.000000	0.346168	1.000000	0.063806	97.449993
