Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000010	0.000005	0.000000
CCGT_AMMONIA	40.843711	21.433279	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834711	431.792276	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532824	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	368.937769	491.363194	0.000000
IND_COGEN_WOOD	0.000009	0.000006	0.000000
IND_COGEN_WASTE	0.000007	0.000005	0.000000
IND_BOILER_GAS	16.270261	4.859635	0.000000
IND_BOILER_WOOD	0.000009	0.000003	0.000000
IND_BOILER_OIL	0.000008	0.000002	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000000
IND_BOILER_WASTE	17.462732	5.206543	0.000000
IND_DIRECT_ELEC	274.574898	16.620116	0.000000
DHN_HP_ELEC	116.436586	81.806152	0.000000
DHN_COGEN_GAS	0.000023	0.000014	0.000000
DHN_COGEN_WOOD	0.000005	0.000004	0.000000
DHN_COGEN_WASTE	0.000006	0.000005	0.000000
DHN_COGEN_WET_BIOMASS	0.000003	0.000005	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000006	0.000004	0.000000
DHN_BOILER_GAS	0.000002	0.000001	0.000000
DHN_BOILER_WOOD	0.000002	0.000001	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	538.024799	351.581061	0.000000
DEC_THHP_GAS	0.000026	0.000013	0.000000
DEC_COGEN_GAS	0.000013	0.000014	0.000000
DEC_COGEN_OIL	0.000010	0.000010	0.000000
DEC_ADVCOGEN_GAS	0.000021	0.000007	0.000000
DEC_ADVCOGEN_H2	0.000017	0.000005	0.000000
DEC_BOILER_GAS	0.000014	0.000006	0.000000
DEC_BOILER_WOOD	0.000012	0.000006	0.000000
DEC_BOILER_OIL	0.000010	0.000009	0.000000
DEC_SOLAR	0.000035	0.000007	0.000000
DEC_DIRECT_ELEC	0.000020	0.000001	0.000000
TRAMWAY_TROLLEY	207.241630	99.541628	0.000000
BUS_COACH_DIESEL	0.000004	0.000003	0.000000
BUS_COACH_HYDIESEL	0.000005	0.000002	0.000000
BUS_COACH_CNG_STOICH	0.001876	0.001218	0.000000
BUS_COACH_FC_HYBRIDH2	0.000008	0.000004	0.000000
BUS_COACH_ELECTRIC	324.861532	191.429683	0.000000
TRAIN_PUB	831.863833	898.139720	0.000000
CAR_GASOLINE	0.000002	0.000001	0.000000
CAR_DIESEL	0.000001	0.000001	0.000000
CAR_NG	0.000002	0.000001	0.000000
CAR_METHANOL	0.000001	0.000001	0.000000
CAR_HEV	0.000001	0.000001	0.000000
CAR_PHEV	0.000605	0.000411	0.000000
CAR_BEV	7957.107563	1769.646091	0.000000
CAR_FUEL_CELL	0.000002	0.000000	0.000000
TRAIN_FREIGHT	26.982708	16.143514	0.000000
BOAT_FREIGHT_DIESEL	0.000021	0.000030	0.000000
BOAT_FREIGHT_NG	73.023256	106.290024	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	1847.523976	621.043884	0.000000
TRUCK_ELEC	0.001126	0.000809	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000007	0.000002	0.000000
SYN_METHANOLATION	0.000007	0.000003	0.000000
METHANE_TO_METHANOL	104.052568	94.270767	0.000000
BIOMASS_TO_METHANOL	0.000008	0.000002	0.000000
OIL_TO_HVC	0.000010	0.000001	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	183.787261	283.982471	0.000000
ADLIBIO_TO_FUEL	0.000014	0.000004	0.000000
PHS	8.400075	0.000000	0.000000
BATT_LI	42.376547	0.874184	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000035	0.000004	0.000000
TS_DEC_HP_ELEC	64.649303	7.770169	0.000000
TS_DEC_THHP_GAS	0.000036	0.000004	0.000000
TS_DEC_COGEN_GAS	0.000036	0.000004	0.000000
TS_DEC_COGEN_OIL	0.000035	0.000004	0.000000
TS_DEC_ADVCOGEN_GAS	0.000036	0.000004	0.000000
TS_DEC_ADVCOGEN_H2	0.000035	0.000004	0.000000
TS_DEC_BOILER_GAS	0.000036	0.000004	0.000000
TS_DEC_BOILER_WOOD	0.000035	0.000004	0.000000
TS_DEC_BOILER_OIL	0.000035	0.000004	0.000000
TS_DHN_DAILY	0.000108	0.000009	0.000000
TS_DHN_SEASONAL	23.652859	2.667156	0.000000
TS_HIGH_TEMP	73.376519	16.271847	0.000000
GAS_STORAGE	0.000019	0.000017	0.000000
H2_STORAGE	0.000278	0.000300	0.000000
DIESEL_STORAGE	0.000241	0.000165	0.000000
GASOLINE_STORAGE	0.000244	0.000168	0.000000
LFO_STORAGE	0.000256	0.000176	0.000000
AMMONIA_STORAGE	0.000001	0.000001	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.000533	0.000128	0.000000
ADLIBIO_TO_HVC	0.000008	0.000003	0.000000
AMMONIA_TO_H2	0.000005	0.000009	0.000000
ATM_CCS	0.000008	0.000006	0.000000
BIO_HYDROLYSIS	243.906328	221.895347	0.000000
BIOMETHANATION	0.000012	0.000003	0.000000
DHN	159.772150	0.000000	0.000000
EFFICIENCY	5600.000000	0.000000	0.000000
GASIFICATION_SNG	0.000005	0.000008	0.000000
GRID	2210.177553	0.000000	0.000000
H2_BIOMASS	170.093890	248.282690	0.000000
H2_ELECTROLYSIS	53.131589	19.496082	0.000000
INDUSTRY_CCS	0.000005	0.000004	0.000000
REDIFUEL	0.000007	0.000003	0.000000
SMR	0.000006	0.000012	0.000000
SYN_METHANATION	0.000001	0.000011	0.000000
ELECTRICITY	0.000000	0.000000	2892.582824
GASOLINE	0.000000	0.000000	0.000010
DIESEL	0.000000	0.000000	0.000029
BIOETHANOL	0.000000	0.000000	0.000015
BIODIESEL	0.000000	0.000000	0.000038
BIODIESEL_BE	0.000000	0.000000	0.000020
LFO	0.000000	0.000000	0.000131
LFO_RE_BE	0.000000	0.000000	0.000015
GAS	0.000000	0.000000	5056.727796
GAS_RE_IMPORT	0.000000	0.000000	0.000053
GAS_RE_BE	0.000000	0.000000	0.000019
WOOD	0.000000	0.000000	659.880000
WOOD_PRODUCTION	0.000000	0.000000	781.081177
WET_BIOMASS	0.000000	0.000000	242.332996
COAL	0.000000	0.000000	0.000000
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	444.535063
H2	0.000000	0.000000	0.000000
H2_RE_IMPORT	0.000000	0.000000	0.000001
H2_RE_BE	0.000000	0.000000	260.583602
AMMONIA	0.000000	0.000000	0.000009
METHANOL	0.000000	0.000000	0.000023
AMMONIA_RE_IMPORT	0.000000	0.000000	0.000082
AMMONIA_RE_BE	0.000000	0.000000	1459.260541
METHANOL_RE_IMPORT	0.000000	0.000000	4690.212817
METHANOL_RE_BE	0.000000	0.000000	0.000058
ELEC_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
