Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000100	0.000052	0.000000
CCGT_AMMONIA	0.000046	0.000024	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1659.558516	392.683993	0.000000
WIND_ONSHORE	433.047520	120.959989	0.000000
WIND_OFFSHORE	1242.837260	207.665988	0.000000
HYDRO_RIVER	19.393258	5.801151	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	427.035098	568.741276	0.000000
IND_COGEN_WOOD	0.000041	0.000031	0.000000
IND_COGEN_WASTE	0.000036	0.000027	0.000000
IND_BOILER_GAS	34.214419	10.219196	0.000000
IND_BOILER_WOOD	0.000047	0.000014	0.000000
IND_BOILER_OIL	0.000038	0.000012	0.000000
IND_BOILER_COAL	0.000077	0.000023	0.000000
IND_BOILER_WASTE	17.137063	5.109436	0.000000
IND_DIRECT_ELEC	96.151056	5.820065	0.000000
DHN_HP_ELEC	134.447198	94.460635	0.000000
DHN_COGEN_GAS	0.685982	0.415566	0.000000
DHN_COGEN_WOOD	0.000030	0.000023	0.000000
DHN_COGEN_WASTE	0.000034	0.000026	0.000000
DHN_COGEN_WET_BIOMASS	0.000027	0.000045	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000036	0.000024	0.000000
DHN_BOILER_GAS	0.000009	0.000003	0.000000
DHN_BOILER_WOOD	0.000015	0.000004	0.000000
DHN_BOILER_OIL	0.000007	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000013	0.000000	0.000000
DEC_HP_ELEC	615.758458	402.375469	0.000000
DEC_THHP_GAS	0.001102	0.000553	0.000000
DEC_COGEN_GAS	0.000085	0.000094	0.000000
DEC_COGEN_OIL	0.000056	0.000059	0.000000
DEC_ADVCOGEN_GAS	0.000125	0.000040	0.000000
DEC_ADVCOGEN_H2	0.000075	0.000024	0.000000
DEC_BOILER_GAS	0.000064	0.000029	0.000000
DEC_BOILER_WOOD	0.000070	0.000037	0.000000
DEC_BOILER_OIL	0.000050	0.000045	0.000000
DEC_SOLAR	0.000372	0.000071	0.000000
DEC_DIRECT_ELEC	0.000077	0.000004	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000024	0.000016	0.000000
BUS_COACH_HYDIESEL	0.000108	0.000058	0.000000
BUS_COACH_CNG_STOICH	266.348620	177.697908	0.000000
BUS_COACH_FC_HYBRIDH2	0.000011	0.000004	0.000000
BUS_COACH_ELECTRIC	0.000033	0.000013	0.000000
TRAIN_PUB	789.736988	852.657339	0.000000
CAR_GASOLINE	7656.516018	4032.061886	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.001898	0.001386	0.000000
CAR_PHEV	0.004949	0.003400	0.000000
CAR_BEV	0.005272	0.001121	0.000000
CAR_FUEL_CELL	0.005201	0.000713	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000088	0.000132	0.000000
BOAT_FREIGHT_NG	64.882560	97.049419	0.000000
BOAT_FREIGHT_METHANOL	0.000004	0.000006	0.000000
TRUCK_DIESEL	0.000002	0.000001	0.000000
TRUCK_METHANOL	0.000001	0.000001	0.000000
TRUCK_FUEL_CELL	1416.566788	567.050555	0.000000
TRUCK_ELEC	0.000024	0.000010	0.000000
TRUCK_NG	0.000006	0.000004	0.000000
HABER_BOSCH	57.433545	19.278730	0.000000
SYN_METHANOLATION	0.000060	0.000029	0.000000
METHANE_TO_METHANOL	312.411322	283.042454	0.000000
BIOMASS_TO_METHANOL	0.000070	0.000018	0.000000
ADLIBIO_TO_HVC	0.000013	0.000031	0.000000
OIL_TO_HVC	12.951951	0.918795	0.000000
GAS_TO_HVC	0.000138	0.000071	0.000000
METHANOL_TO_HVC	191.811389	296.382641	0.000000
PHS	10.920065	0.000000	0.000000
BATT_LI	0.000813	0.000017	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000115	0.000014	0.000000
TS_DEC_HP_ELEC	73.647421	8.851828	0.000000
TS_DEC_THHP_GAS	0.000199	0.000024	0.000000
TS_DEC_COGEN_GAS	0.000117	0.000014	0.000000
TS_DEC_COGEN_OIL	0.000117	0.000014	0.000000
TS_DEC_ADVCOGEN_GAS	0.000161	0.000019	0.000000
TS_DEC_ADVCOGEN_H2	0.000116	0.000014	0.000000
TS_DEC_BOILER_GAS	0.000116	0.000014	0.000000
TS_DEC_BOILER_WOOD	0.000118	0.000014	0.000000
TS_DEC_BOILER_OIL	0.000116	0.000014	0.000000
TS_DHN_DAILY	0.000254	0.000022	0.000000
