TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.004296	0.000109	25.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.001944	0.961540	0.048263	0.001023
CCGT_AMMONIA	0.003437	0.000087	25.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000454	0.630000	0.048263	0.000818
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	51482.240430	587.931143	25.000000	0.000000	59.174989	59.200000	0.000000	0.599324	1.000000	0.118534	1.000000	0.048263	123168.597354
WIND_ONSHORE	10400.000004	120.960000	30.000000	0.000000	10.000000	10.000000	0.000000	0.199950	1.000000	0.234012	1.000000	0.041639	6228.500002
WIND_OFFSHORE	29847.779281	207.665995	30.000000	0.000000	6.000000	6.000000	0.000000	0.196031	1.000000	0.382377	1.000000	0.041639	3737.099910
HYDRO_RIVER	580.165762	5.801151	40.000000	0.000000	0.115000	0.115000	0.000000	0.004695	1.000000	0.477843	1.000000	0.033427	145.224290
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	8569.931100	550.867190	25.000000	0.000000	6.086469	Infinity	0.000000	0.666534	1.000000	0.810920	0.850000	0.048263	6234.492038
IND_COGEN_WOOD	0.001443	0.000053	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000613	0.850000	0.048263	0.000221
IND_COGEN_WASTE	0.001188	0.000044	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000233	0.850000	0.048263	0.000263
IND_BOILER_GAS	315.491513	6.321004	17.000000	0.000000	5.357302	Infinity	0.000000	0.137605	1.000000	0.190199	0.950000	0.067080	66.001960
IND_BOILER_WOOD	0.001138	0.000023	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.000998	0.900000	0.067080	0.000285
IND_BOILER_OIL	15.470101	0.332719	17.000000	0.000000	0.281992	Infinity	0.000000	0.011532	1.000000	0.302834	0.950000	0.067080	3.474146
IND_BOILER_COAL	0.000843	0.000017	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.001794	0.900000	0.067080	0.000353
IND_BOILER_WASTE	124.999980	2.499985	17.000000	0.000000	1.085258	Infinity	0.000000	0.079045	1.000000	0.539338	0.900000	0.067080	31.331389
IND_DIRECT_ELEC	3195.761034	14.497295	15.000000	0.000000	9.615939	Infinity	0.000000	0.105285	1.000000	0.081076	0.950000	0.074944	14.135430
DHN_HP_ELEC	2861.578824	97.033840	25.000000	0.000000	8.300205	Infinity	0.000000	1.000000	1.000000	0.642043	0.950000	0.048263	1450.792907
DHN_COGEN_GAS	0.003011	0.000088	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.003485	0.850000	0.048263	0.001178
DHN_COGEN_WOOD	0.001198	0.000044	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000383	0.850000	0.048263	0.000183
DHN_COGEN_WASTE	0.001060	0.000039	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000193	0.850000	0.048263	0.000234
DHN_COGEN_WET_BIOMASS	0.000712	0.000058	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000438	0.750000	0.048263	0.000530
DHN_COGEN_BIO_HYDROLYSIS	0.000870	0.000043	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000122	0.850000	0.074944	0.000124
DHN_BOILER_GAS	0.000309	0.000006	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001376	0.950000	0.067080	0.000065
DHN_BOILER_WOOD	0.000402	0.000008	17.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.000621	0.900000	0.067080	0.000101
DHN_BOILER_OIL	0.000287	0.000006	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.001145	0.950000	0.067080	0.000064
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000364	0.000000	30.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000494	1.000000	0.041639	0.000222
DEC_HP_ELEC	9656.993871	402.645731	18.000000	0.000000	19.626441	Infinity	0.000000	1.000000	1.000000	0.449353	1.000000	0.063806	3236.203803
DEC_THHP_GAS	0.002313	0.000068	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.011703	1.000000	0.058246	0.002799
DEC_COGEN_GAS	0.001617	0.000104	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001718	1.000000	0.058246	0.001176
DEC_COGEN_OIL	0.001783	0.000109	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001397	1.000000	0.058246	0.001399
DEC_ADVCOGEN_GAS	0.002872	0.000054	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000699	1.000000	0.058246	0.000870
DEC_ADVCOGEN_H2	0.002777	0.000052	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000320	1.000000	0.058246	0.000841
DEC_BOILER_GAS	0.001989	0.000060	17.000000	0.000000	0.000013	Infinity	0.000000	0.000000	1.000000	0.001426	1.000000	0.067080	0.000265
DEC_BOILER_WOOD	0.001748	0.000061	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000682	1.000000	0.067080	0.000080
DEC_BOILER_OIL	0.001516	0.000091	17.000000	0.000000	0.000011	Infinity	0.000000	0.000000	1.000000	0.001507	1.000000	0.067080	0.000225
DEC_SOLAR	0.008815	0.000098	20.000000	0.000000	0.000012	Infinity	0.000000	0.000000	1.000000	0.006206	1.000000	0.058246	0.002712
DEC_DIRECT_ELEC	0.002787	0.000012	15.000000	0.000000	0.000070	Infinity	0.000000	0.000000	1.000000	0.001427	1.000000	0.074944	0.000102
TRAMWAY_TROLLEY	4725.034410	94.500688	30.000000	0.000000	7.560055	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000308	0.000015	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001478	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.001772	0.000071	15.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.006281	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.030847	0.001542	15.000000	0.000000	0.000050	Infinity	0.000000	0.000002	1.000000	0.149797	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000206	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000115	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	6057.850736	181.734941	15.000000	0.000000	5.815518	Infinity	0.000000	0.199998	1.000000	0.296800	0.296800	0.074944	0.000000
TRAIN_PUB	23625.648434	852.657300	40.000000	0.000000	15.687473	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	12608.700018	720.000001	10.000000	30.000000	30.000000	Infinity	0.000000	0.065932	1.000000	0.018967	0.051370	0.108434	0.000000
CAR_DIESEL	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_NG	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_METHANOL	0.000000	0.000000	10.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.051370	0.108434	0.000000
CAR_HEV	0.000105	0.000008	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000122	0.051370	0.108434	0.000000
CAR_PHEV	0.052310	0.003897	10.000000	0.000000	0.000115	Infinity	0.000000	0.000000	1.000000	0.029371	0.051370	0.108434	0.000000
CAR_BEV	0.014625	0.000337	10.000000	0.000000	0.000034	Infinity	0.000000	0.000000	1.000000	0.017350	0.051370	0.108434	0.000000
CAR_FUEL_CELL	105518.633892	1569.260331	10.000000	0.000000	156.926033	Infinity	0.000000	0.934068	1.000000	0.051370	0.051370	0.108434	0.000000
