source,target,realValue,layerID,layerColor,layerUnit
Imp. Ammonia RE,Ammonia,10.20,Ammonia,#000ECD,TWh
Ammonia,Non-energy demand,10.20,Ammonia,#000ECD,TWh
Imp. Methanol,Methanol,7.23,Methanol,#CC0066,TWh
Gas,Methane-to-Methanol,23.54,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,15.39,Methanol,#CC0066,TWh
Methanol,Non-energy demand,1.54,Methanol,#CC0066,TWh
HVC,Non-energy demand,41.38,HVC,#00FFFF,TWh
Imp. Gas,Gas,269.59,Gas,#FFD700,TWh
Gas Prod,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas Prod,Gas,16.45,GAS,#FFD700,TWh
Gas,Freight,3.13,GAS,#FFD700,TWh
Gas,H2 prod,155.77,GAS,#FFD700,TWh
Gas,CHP,93.99,GAS,#FFD700,TWh
Gas,Boilers,9.63,GAS,#FFD700,TWh
Electricity,Elec,27.57,Electricity,#00BFFF,TWh
Wind,Elec,40.60,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,6.25,Waste,#808000,TWh
Oil,Boilers,0.79,Oil,#8B008B,TWh
Wood,H2 prod,20.14,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob public,3.87,Electricity,#00BFFF,TWh
Elec,Freight,1.45,Electricity,#00BFFF,TWh
Elec,Exp & Loss,8.13,Electricity,#00BFFF,TWh
Elec,Curt.,0.06,Electricity,#00BFFF,TWh
Elec,Elec demand,95.48,Electricity,#00BFFF,TWh
Solar,Curt.,0.09,Solar,#FFFF00,TWh
Wind,Curt.,2.37,Wind,#27AE34,TWh
Elec,Storage,2.18,Electricity,#00BFFF,TWh
Storage,Elec demand,1.80,Electricity,#00BFFF,TWh
Elec,HPs,37.42,Electricity,#00BFFF,TWh
Elec,HT sto,6.27,Electricity,#00BFFF,TWh
HT sto,Heat HT,6.22,Heat HT,#DC143C,TWh
Elec,Heat HT,0.56,Electricity,#00BFFF,TWh
Elec,Electrolyser,12.28,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,2.17,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,11.42,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.22,Heat LT,#FA8072,TWh
Imp. H2 RE,H2,19.48,H2,#FF00FF,TWh
H2 prod,H2 sto.,1.78,H2,#FF00FF,TWh
H2 sto.,H2,1.54,H2,#FF00FF,TWh
H2 prod,H2,132.49,H2,#FF00FF,TWh
H2,Mob priv,15.47,H2,#FF00FF,TWh
H2,Freight,16.77,H2,#FF00FF,TWh
CHP,Elec,41.36,Electricity,#00BFFF,TWh
CHP,Heat HT,43.24,Heat HT,#DC143C,TWh
HPs,Dec. sto,20.39,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,56.86,Heat LT,#FA8072,TWh
HPs,DHN,46.68,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,18.59,Heat LT,#FA8072,TWh
Boilers,Heat HT,14.80,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,29.57,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,14.99,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,14.75,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,61.93,Heat HT,#DC143C,TWh
