Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000042	0.000022	0.000000
CCGT_AMMONIA	282.688981	148.344792	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1824.834585	431.792246	0.000000
WIND_ONSHORE	407.572703	113.845000	0.000000
WIND_OFFSHORE	1162.532825	194.247600	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	21.583070	28.745028	0.000000
IND_COGEN_WOOD	0.000036	0.000028	0.000000
IND_COGEN_WASTE	0.000035	0.000026	0.000000
IND_BOILER_GAS	13.778726	4.115458	0.000000
IND_BOILER_WOOD	0.000040	0.000012	0.000000
IND_BOILER_OIL	0.000042	0.000013	0.000000
IND_BOILER_COAL	17.209595	5.131070	0.000000
IND_BOILER_WASTE	18.538677	5.527338	0.000000
IND_DIRECT_ELEC	486.666540	29.458099	0.000000
DHN_HP_ELEC	109.905156	77.217292	0.000000
DHN_COGEN_GAS	0.000049	0.000030	0.000000
DHN_COGEN_WOOD	0.000027	0.000021	0.000000
DHN_COGEN_WASTE	0.000031	0.000023	0.000000
DHN_COGEN_WET_BIOMASS	0.000019	0.000032	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000035	0.000023	0.000000
DHN_BOILER_GAS	0.000009	0.000003	0.000000
DHN_BOILER_WOOD	0.000014	0.000004	0.000000
DHN_BOILER_OIL	0.000008	0.000003	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000007	0.000000	0.000000
DEC_HP_ELEC	538.024816	351.581072	0.000000
DEC_THHP_GAS	0.000072	0.000036	0.000000
DEC_COGEN_GAS	0.000055	0.000061	0.000000
DEC_COGEN_OIL	0.000053	0.000056	0.000000
DEC_ADVCOGEN_GAS	0.000087	0.000028	0.000000
DEC_ADVCOGEN_H2	0.000095	0.000030	0.000000
DEC_BOILER_GAS	0.000071	0.000032	0.000000
DEC_BOILER_WOOD	0.000065	0.000034	0.000000
DEC_BOILER_OIL	0.000054	0.000048	0.000000
