Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000025	0.000013	0.000000
CCGT_AMMONIA	0.000007	0.000004	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1839.984201	435.376238	0.000000
WIND_ONSHORE	433.047558	120.960000	0.000000
WIND_OFFSHORE	1242.837331	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	360.794320	480.519337	0.000000
IND_COGEN_WOOD	0.000009	0.000007	0.000000
IND_COGEN_WASTE	0.000009	0.000007	0.000000
IND_BOILER_GAS	38.489965	11.496221	0.000000
IND_BOILER_WOOD	0.000009	0.000003	0.000000
IND_BOILER_OIL	0.000010	0.000003	0.000000
IND_BOILER_COAL	0.000015	0.000004	0.000000
IND_BOILER_WASTE	14.577287	4.346236	0.000000
IND_DIRECT_ELEC	0.000194	0.000012	0.000000
DHN_HP_ELEC	106.061855	74.517508	0.000000
DHN_COGEN_GAS	101.903047	61.732587	0.000000
DHN_COGEN_WOOD	0.000006	0.000005	0.000000
DHN_COGEN_WASTE	0.000009	0.000007	0.000000
DHN_COGEN_WET_BIOMASS	0.000006	0.000011	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000009	0.000006	0.000000
DHN_BOILER_GAS	0.000003	0.000001	0.000000
DHN_BOILER_WOOD	0.000003	0.000001	0.000000
DHN_BOILER_OIL	0.000003	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000009	0.000000	0.000000
DEC_HP_ELEC	543.335610	355.049806	0.000000
DEC_THHP_GAS	40.471687	20.308437	0.000000
DEC_COGEN_GAS	0.000030	0.000033	0.000000
DEC_COGEN_OIL	0.000017	0.000018	0.000000
DEC_ADVCOGEN_GAS	0.000046	0.000015	0.000000
DEC_ADVCOGEN_H2	0.000018	0.000006	0.000000
DEC_BOILER_GAS	0.000016	0.000007	0.000000
DEC_BOILER_WOOD	0.000017	0.000009	0.000000
DEC_BOILER_OIL	0.000014	0.000013	0.000000
DEC_SOLAR	0.000095	0.000018	0.000000
DEC_DIRECT_ELEC	0.000028	0.000002	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000008	0.000006	0.000000
BUS_COACH_HYDIESEL	0.000007	0.000004	0.000000
BUS_COACH_CNG_STOICH	694.602207	463.412798	0.000000
BUS_COACH_FC_HYBRIDH2	0.000004	0.000002	0.000000
BUS_COACH_ELECTRIC	0.000006	0.000004	0.000000
TRAIN_PUB	281.820011	304.273327	0.000000
CAR_GASOLINE	2278.690031	1200.000000	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000003	0.000002	0.000000
CAR_METHANOL	0.000002	0.000001	0.000000
CAR_HEV	0.000001	0.000001	0.000000
CAR_PHEV	0.000664	0.000456	0.000000
CAR_BEV	5551.090088	1180.028519	0.000000
CAR_FUEL_CELL	0.000003	0.000000	0.000000
TRAIN_FREIGHT	24.636892	14.740046	0.000000
BOAT_FREIGHT_DIESEL	0.000017	0.000025	0.000000
BOAT_FREIGHT_NG	64.882631	97.049525	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000001	0.000001	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_ELEC	1528.280515	1087.107963	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	57.433773	19.278806	0.000000
SYN_METHANOLATION	0.000010	0.000005	0.000000
METHANE_TO_METHANOL	26.486847	23.996896	0.000000
BIOMASS_TO_METHANOL	0.000014	0.000004	0.000000
OIL_TO_HVC	0.000000	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
ADLIBIO_TO_HVC	193.957464	75.101804	0.000000
PHS	8.400076	0.000000	0.000000
BATT_LI	0.000083	0.000002	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000041	0.000005	0.000000
TS_DEC_HP_ELEC	63.290332	7.606989	0.000000
TS_DEC_THHP_GAS	7.122348	0.856049	0.000000
TS_DEC_COGEN_GAS	0.000041	0.000005	0.000000
TS_DEC_COGEN_OIL	0.000040	0.000005	0.000000
TS_DEC_ADVCOGEN_GAS	0.000042	0.000005	0.000000
TS_DEC_ADVCOGEN_H2	0.000040	0.000005	0.000000
TS_DEC_BOILER_GAS	0.000041	0.000005	0.000000
TS_DEC_BOILER_WOOD	0.000040	0.000005	0.000000
TS_DEC_BOILER_OIL	0.000040	0.000005	0.000000
TS_DHN_DAILY	0.000060	0.000005	0.000000
TS_DHN_SEASONAL	20.349118	2.309833	0.000000
TS_HIGH_TEMP	35.012834	7.764384	0.000000
GAS_STORAGE	0.000553	0.000507	0.000000
H2_STORAGE	0.461937	0.499681	0.000000
DIESEL_STORAGE	0.000603	0.000411	0.000000
GASOLINE_STORAGE	0.000640	0.000436	0.000000
LFO_STORAGE	0.000635	0.000433	0.000000
AMMONIA_STORAGE	0.000002	0.000001	0.000000
METHANOL_STORAGE	0.000000	0.000000	0.000000
CO2_STORAGE	0.000703	0.000169	0.000000
ADLIBIO_TO_FUEL	0.000019	0.000006	0.000000
AMMONIA_TO_H2	0.000004	0.000008	0.000000
ATM_CCS	0.000006	0.000005	0.000000
