TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.000643	0.000016	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000808	0.961540	0.048263	0.000157
CCGT_AMMONIA	1981.884004	50.194953	25.000000	0.000000	2.639450	Infinity	0.000000	0.126031	1.000000	0.630000	0.630000	0.048263	485.104560
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	37809.865376	431.792272	25.000000	0.000000	59.174999	59.200000	0.000000	0.527357	1.000000	0.117582	1.000000	0.048263	123168.617403
WIND_ONSHORE	9788.200001	113.845000	30.000000	0.000000	10.000000	10.000000	0.000000	0.172794	1.000000	0.227984	1.000000	0.041639	6228.500000
WIND_OFFSHORE	27919.200000	194.247600	30.000000	0.000000	6.000000	6.000000	0.000000	0.169696	1.000000	0.373159	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165801	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.004121	1.000000	0.472855	1.000000	0.033427	145.224300
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	5736.290604	368.721998	25.000000	0.000000	4.379516	Infinity	0.000000	0.457754	1.000000	0.850000	0.850000	0.048263	4486.026257
IND_COGEN_WOOD	0.000581	0.000021	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001526	0.850000	0.048263	0.000096
IND_COGEN_WASTE	0.000528	0.000019	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000174	0.850000	0.048263	0.000129
IND_BOILER_GAS	382.204147	7.657647	17.000000	0.000000	6.490137	Infinity	0.000000	0.204038	1.000000	0.255665	0.950000	0.067080	79.958483
IND_BOILER_WOOD	0.000514	0.000010	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.004775	0.900000	0.067080	0.000129
IND_BOILER_OIL	0.000461	0.000010	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.003825	0.950000	0.067080	0.000104
IND_BOILER_COAL	0.000001	0.000000	17.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.900000	0.067080	0.000001
IND_BOILER_WASTE	341.727190	6.834514	17.000000	0.000000	2.966897	Infinity	0.000000	0.204890	1.000000	0.561605	0.900000	0.067080	85.654315
IND_DIRECT_ELEC	3066.236254	13.909700	15.000000	0.000000	9.226203	Infinity	0.000000	0.133318	1.000000	0.117511	0.950000	0.074944	13.562518
DHN_HP_ELEC	2363.995928	80.160723	25.000000	0.000000	7.439096	Infinity	0.000000	1.000000	1.000000	0.688926	0.950000	0.048263	1300.279590
DHN_COGEN_GAS	0.000532	0.000016	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000791	0.850000	0.048263	0.000224
DHN_COGEN_WOOD	0.000341	0.000012	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000327	0.850000	0.048263	0.000056
DHN_COGEN_WASTE	0.000470	0.000017	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000133	0.850000	0.048263	0.000115
DHN_COGEN_WET_BIOMASS	0.000237	0.000019	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000255	0.750000	0.048263	0.000190
DHN_COGEN_BIO_HYDROLYSIS	0.000256	0.000013	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000086	0.850000	0.074944	0.000039
DHN_BOILER_GAS	0.000090	0.000002	17.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.000572	0.950000	0.067080	0.000019
DHN_BOILER_WOOD	0.000137	0.000003	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000452	0.900000	0.067080	0.000034
DHN_BOILER_OIL	0.000073	0.000002	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000388	0.950000	0.067080	0.000016
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.000063	0.000000	30.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000106	1.000000	0.041639	0.000040
DEC_HP_ELEC	8432.226565	351.581067	18.000000	0.000000	18.592434	Infinity	0.000000	1.000000	1.000000	0.450631	1.000000	0.063806	3065.706432
DEC_THHP_GAS	0.000941	0.000028	20.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.003771	1.000000	0.058246	0.001235
DEC_COGEN_GAS	0.000659	0.000042	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000641	1.000000	0.058246	0.000516
DEC_COGEN_OIL	0.000586	0.000036	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000353	1.000000	0.058246	0.000494
DEC_ADVCOGEN_GAS	0.001107	0.000021	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000336	1.000000	0.058246	0.000430
DEC_ADVCOGEN_H2	0.001251	0.000023	20.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000588	1.000000	0.058246	0.000485
DEC_BOILER_GAS	0.000766	0.000023	17.000000	0.000000	0.000005	Infinity	0.000000	0.000000	1.000000	0.000606	1.000000	0.067080	0.000102
DEC_BOILER_WOOD	0.000659	0.000023	17.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000544	1.000000	0.067080	0.000030
DEC_BOILER_OIL	0.000568	0.000034	17.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.000494	1.000000	0.067080	0.000084
DEC_SOLAR	0.000988	0.000011	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000894	1.000000	0.058246	0.000317
DEC_DIRECT_ELEC	0.000923	0.000004	15.000000	0.000000	0.000024	Infinity	0.000000	0.000000	1.000000	0.000825	1.000000	0.074944	0.000036
TRAMWAY_TROLLEY	4977.081421	99.541628	30.000000	0.000000	7.963330	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.000072	0.000003	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000341	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.000114	0.000004	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000410	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	0.000121	0.000006	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000579	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.000412	0.000016	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001864	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	4334.730246	191.430881	15.000000	0.000000	6.125788	Infinity	0.000000	0.200000	1.000000	0.296800	0.296800	0.074944	0.000000
TRAIN_PUB	24885.909868	898.139728	40.000000	0.000000	16.524289	Infinity	0.000000	0.500000	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	0.000067	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000085	0.051370	0.108434	0.000000
CAR_DIESEL	0.000041	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000054	0.051370	0.108434	0.000000
CAR_NG	0.000055	0.000003	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000073	0.051370	0.108434	0.000000
CAR_METHANOL	0.000041	0.000002	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000056	0.051370	0.108434	0.000000
CAR_HEV	0.000050	0.000004	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000067	0.051370	0.108434	0.000000
CAR_PHEV	0.021258	0.001566	10.000000	0.000000	0.000046	Infinity	0.000000	0.000000	1.000000	0.015613	0.051370	0.108434	0.000000
CAR_BEV	73381.904358	1769.645847	10.000000	0.000000	176.964585	Infinity	0.000000	1.000000	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000058	0.000001	10.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000209	0.051370	0.108434	0.000000
