Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000004	0.000002	0.000000
CCGT_AMMONIA	0.000002	0.000001	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	1506.459337	356.457734	0.000000
WIND_ONSHORE	433.047558	120.960000	0.000000
WIND_OFFSHORE	1242.837331	207.666000	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	544.023128	724.550300	0.000000
IND_COGEN_WOOD	0.000003	0.000003	0.000000
IND_COGEN_WASTE	0.000003	0.000002	0.000000
IND_BOILER_GAS	44.558838	13.308877	0.000000
IND_BOILER_WOOD	0.000003	0.000001	0.000000
IND_BOILER_OIL	0.000003	0.000001	0.000000
IND_BOILER_COAL	0.000003	0.000001	0.000000
IND_BOILER_WASTE	3.031286	0.903782	0.000000
IND_DIRECT_ELEC	0.000008	0.000000	0.000000
DHN_HP_ELEC	130.841782	91.927523	0.000000
DHN_COGEN_GAS	0.000022	0.000013	0.000000
DHN_COGEN_WOOD	0.000002	0.000002	0.000000
DHN_COGEN_WASTE	0.000002	0.000002	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000003	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000003	0.000002	0.000000
DHN_BOILER_GAS	0.000001	0.000000	0.000000
DHN_BOILER_WOOD	0.000001	0.000000	0.000000
DHN_BOILER_OIL	0.000001	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	515.510710	336.867259	0.000000
DEC_THHP_GAS	55.871009	28.035720	0.000000
DEC_COGEN_GAS	0.000006	0.000007	0.000000
DEC_COGEN_OIL	0.000004	0.000004	0.000000
DEC_ADVCOGEN_GAS	0.000009	0.000003	0.000000
DEC_ADVCOGEN_H2	0.000007	0.000002	0.000000
DEC_BOILER_GAS	0.000005	0.000002	0.000000
DEC_BOILER_WOOD	0.000005	0.000002	0.000000
DEC_BOILER_OIL	0.000004	0.000003	0.000000
DEC_SOLAR	0.000025	0.000005	0.000000
DEC_DIRECT_ELEC	0.000007	0.000000	0.000000
TRAMWAY_TROLLEY	196.746599	94.500689	0.000000
BUS_COACH_DIESEL	0.000001	0.000001	0.000000
BUS_COACH_HYDIESEL	0.000001	0.000001	0.000000
BUS_COACH_CNG_STOICH	932.220546	621.942929	0.000000
