TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh]
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.849000	0.025393	0.000000
CCGT	0.010364	0.000262	25.000000	0.000000	0.000013	Infinity	0.000000	0.000001	1.000000	0.066372	0.961540	0.048263	0.002467
CCGT_AMMONIA	0.002519	0.000064	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.001392	0.630000	0.048263	0.000600
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.856000	0.036934	0.000000
PV	38121.127968	435.346211	25.000000	0.000000	43.817388	59.200000	0.000000	0.529446	1.000000	0.114377	1.000000	0.048263	91202.826881
WIND_ONSHORE	10400.000010	120.960000	30.000000	0.000000	10.000000	10.000000	0.000000	0.235019	1.000000	0.222467	1.000000	0.041639	6228.500006
WIND_OFFSHORE	29847.779998	207.666000	30.000000	0.000000	6.000000	6.000000	0.000000	0.229972	1.000000	0.362816	1.000000	0.041639	3737.100000
HYDRO_RIVER	580.165806	5.801152	40.000000	0.000000	0.115000	0.115000	0.000000	0.005562	1.000000	0.457836	1.000000	0.033427	145.224302
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.950000	0.041639	0.000000
IND_COGEN_GAS	7475.622046	480.526023	25.000000	0.000000	5.309278	Infinity	0.000000	0.630626	1.000000	0.850000	0.850000	0.048263	5438.399163
IND_COGEN_WOOD	0.003940	0.000144	25.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.009599	0.850000	0.048263	0.000603
IND_COGEN_WASTE	0.004021	0.000148	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002994	0.850000	0.048263	0.000890
IND_BOILER_GAS	573.787851	11.496079	17.000000	0.000000	9.743383	Infinity	0.000000	0.219370	1.000000	0.161120	0.950000	0.067080	120.038484
IND_BOILER_WOOD	0.002876	0.000058	17.000000	0.000000	0.000025	Infinity	0.000000	0.000000	1.000000	0.013836	0.900000	0.067080	0.000721
IND_BOILER_OIL	0.002841	0.000061	17.000000	0.000000	0.000052	Infinity	0.000000	0.000000	1.000000	0.016634	0.950000	0.067080	0.000638
IND_BOILER_COAL	0.004149	0.000083	17.000000	0.000000	0.000036	Infinity	0.000000	0.000001	1.000000	0.064777	0.900000	0.067080	0.001735
IND_BOILER_WASTE	217.194004	4.343855	17.000000	0.000000	1.885692	Infinity	0.000000	0.150001	1.000000	0.569253	0.900000	0.067080	54.439928
IND_DIRECT_ELEC	0.026887	0.000122	15.000000	0.000000	0.000081	Infinity	0.000000	0.000001	1.000000	0.079806	0.950000	0.074944	0.000119
DHN_HP_ELEC	2197.015250	74.499023	25.000000	0.000000	6.372593	Infinity	0.000000	0.755311	1.000000	0.623436	0.950000	0.048263	1113.865575
DHN_COGEN_GAS	2110.950904	61.719704	25.000000	0.000000	1.682716	Infinity	0.000000	0.244688	1.000000	0.764864	0.850000	0.048263	826.011829
DHN_COGEN_WOOD	0.002825	0.000103	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.004896	0.850000	0.048263	0.000432
DHN_COGEN_WASTE	0.003631	0.000134	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002416	0.850000	0.048263	0.000803
DHN_COGEN_WET_BIOMASS	0.003169	0.000258	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.005975	0.750000	0.048263	0.002361
DHN_COGEN_BIO_HYDROLYSIS	0.002406	0.000118	15.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001591	0.850000	0.074944	0.000343
DHN_BOILER_GAS	0.000617	0.000012	17.000000	0.000000	0.000010	Infinity	0.000000	0.000000	1.000000	0.008330	0.950000	0.067080	0.000129
DHN_BOILER_WOOD	0.001001	0.000020	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.006484	0.900000	0.067080	0.000251
DHN_BOILER_OIL	0.000425	0.000009	17.000000	0.000000	0.000008	Infinity	0.000000	0.000000	1.000000	0.003747	0.950000	0.067080	0.000095
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.850000	0.041639	0.000000
DHN_SOLAR	0.004452	0.000005	30.000000	0.000000	0.000012	Infinity	0.000000	0.000000	1.000000	0.007421	1.000000	0.041639	0.002721
DEC_HP_ELEC	8512.079822	354.908852	18.000000	0.000000	17.299569	Infinity	0.000000	0.886904	1.000000	0.449370	1.000000	0.063806	2852.525896
DEC_THHP_GAS	696.444869	20.355233	20.000000	0.000000	2.206174	Infinity	0.000000	0.113095	1.000000	0.449332	1.000000	0.058246	842.603867
DEC_COGEN_GAS	0.009170	0.000589	20.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.025932	1.000000	0.058246	0.006671
DEC_COGEN_OIL	0.005783	0.000355	20.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.013912	1.000000	0.058246	0.004537
DEC_ADVCOGEN_GAS	0.012729	0.000237	20.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.007335	1.000000	0.058246	0.003855
DEC_ADVCOGEN_H2	0.005938	0.000111	20.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.001149	1.000000	0.058246	0.001798
DEC_BOILER_GAS	0.004647	0.000139	17.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.011153	1.000000	0.067080	0.000618
DEC_BOILER_WOOD	0.004067	0.000142	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.008057	1.000000	0.067080	0.000185
DEC_BOILER_OIL	0.003933	0.000236	17.000000	0.000000	0.000028	Infinity	0.000000	0.000000	1.000000	0.010110	1.000000	0.067080	0.000583
DEC_SOLAR	0.029762	0.000330	20.000000	0.000000	0.000041	Infinity	0.000000	0.000000	1.000000	0.024358	1.000000	0.058246	0.009156
DEC_DIRECT_ELEC	0.005353	0.000023	15.000000	0.000000	0.000134	Infinity	0.000000	0.000000	1.000000	0.003815	1.000000	0.074944	0.000197
TRAMWAY_TROLLEY	4725.034753	94.500695	30.000000	0.000000	7.560056	Infinity	0.000000	0.300000	0.300000	0.342470	0.342470	0.041639	0.000000
BUS_COACH_DIESEL	0.002389	0.000119	15.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.011797	0.296800	0.074944	0.000000
BUS_COACH_HYDIESEL	0.003077	0.000123	15.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.011132	0.296800	0.074944	0.000000
BUS_COACH_CNG_STOICH	9257.715901	462.886637	15.000000	0.000000	15.149017	Infinity	0.000000	0.520981	1.000000	0.296800	0.296800	0.074944	0.000000
BUS_COACH_FC_HYBRIDH2	0.002599	0.000100	15.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.015906	0.296800	0.074944	0.000000
BUS_COACH_ELECTRIC	0.004184	0.000183	15.000000	0.000000	0.000006	Infinity	0.000000	0.000000	1.000000	0.023706	0.296800	0.074944	0.000000
TRAIN_PUB	8458.821347	305.281601	40.000000	0.000000	5.616673	Infinity	0.000000	0.179018	0.500000	0.275070	0.275070	0.033427	0.000000
CAR_GASOLINE	21014.500017	1200.000001	10.000000	50.000000	50.000000	Infinity	0.000000	0.297614	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_DIESEL	0.000345	0.000019	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000513	0.051370	0.108434	0.000000
CAR_NG	0.000535	0.000030	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000831	0.051370	0.108434	0.000000
CAR_METHANOL	0.000299	0.000017	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000477	0.051370	0.108434	0.000000
CAR_HEV	0.000286	0.000023	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000331	0.051370	0.108434	0.000000
CAR_PHEV	0.098132	0.007311	10.000000	0.000000	0.000215	Infinity	0.000000	0.000001	1.000000	0.030586	0.051370	0.108434	0.000000
CAR_BEV	51193.117607	1180.027144	10.000000	0.000000	118.002714	Infinity	0.000000	0.702385	1.000000	0.051370	0.051370	0.108434	0.000000
CAR_FUEL_CELL	0.000512	0.000008	10.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.002335	0.051370	0.108434	0.000000
